;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.42202663092545506
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-4815057-3921498;0.2956242141152028
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-0644404-7231162;0.8020602709635964
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-6062733-3218604;0.4775149874022361
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.2531566364549055
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.2349727399505431
cmt_de#op-8350630-9441009;cmt_en#op-2798366-1946309;cmt_en#op-2798366-1946309;0.19426232426833057
cmt_de#c-4872876-3932965;cmt_en#c-4062369-5383392;cmt_en#c-4062369-5383392;0.36679698254396964
cmt_de#c-9309131-3067692;cmt_en#c-3945313-3684065;cmt_en#c-3945313-3684065;0.4626076669031648
cmt_de#c-8330184-9824066;cmt_en#c-2282104-8815481;cmt_en#c-2282104-8815481;0.5840202318420259
cmt_de#op-0603706-6484397;cmt_en#op-7822155-2346526;cmt_en#op-7822155-2346526;0.35095416544435176
cmt_de#op-2707356-6407444;cmt_en#op-3715253-7341884;cmt_en#op-3715253-7341884;0.22693103086138028
cmt_de#op-5563137-2349843;cmt_en#op-1581958-6116705;cmt_en#op-0261939-6958814;0.4530581031773317
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-3673731-3704063;0.4215633214048403
