;target;prediction_target_1;metric_1
conference_de#c-2365620-6793184;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.44634803850947474
conference_de#c-2807153-3693543;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.4948477290617907
conference_de#c-2852856-4092117;iasted_en#c-7587641-3301519;iasted_en#c-7587641-3301519;0.4461110483361465
conference_de#c-6041715-6986615;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.5116703566104807
conference_de#c-7096317-3412127;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.58063270322434
conference_de#c-1479504-0321675;iasted_en#c-2297379-6540044;iasted_en#c-2297379-6540044;0.3368365330186807
conference_de#op-5642484-4870984;iasted_en#op-1301961-3228494;iasted_en#op-2931757-0516502;0.9873016267205545
conference_de#c-2883309-0508630;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.3205453529667319
conference_de#c-1450635-6067268;iasted_en#c-6088495-8861567;iasted_en#c-2980826-1784096;0.8661916266373015
conference_de#c-6508590-8109709;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.5157473589780128
conference_de#c-9365621-4628022;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.5073208583299207
conference_de#c-7521012-9493261;iasted_en#c-0201298-3231355;iasted_en#c-0201298-3231355;0.26336118933452196
