;target;prediction_target_1;metric_1
conference_de#c-3040625-6424461;sigkdd_en#c-4512427-8358882;sigkdd_en#c-4512427-8358882;0.5775312373181531
conference_de#op-1806324-3972847;sigkdd_en#op-4778648-3039012;sigkdd_en#op-4778648-3039012;0.34755995977288545
conference_de#c-2852856-4092117;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.279417956933549
conference_de#c-6508590-8109709;sigkdd_en#c-3661201-8652994;sigkdd_en#c-1144746-3205183;0.8817288107090641
conference_de#c-8195847-6754106;sigkdd_en#c-5937062-8520809;sigkdd_en#ent-5985310-3715518;0.9175860744574014
conference_de#c-5694210-3113803;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.4685142387561208
conference_de#c-7096317-3412127;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.746648960946968
conference_de#ent-5299945-7988874;sigkdd_en#ent-6795922-7675825;sigkdd_en#c-3967774-8138616;0.8292790907557905
conference_de#c-0369442-7501730;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.25391802546722303
conference_de#c-1521137-1761392;sigkdd_en#c-2288341-0956338;sigkdd_en#c-2288341-0956338;0.9263483367627373
conference_de#c-7521012-9493261;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.5856386178200093
conference_de#c-2807153-3693543;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.46721893647865975
conference_de#c-9625814-4995879;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.7114020504027085
conference_de#op-6034483-9201945;sigkdd_en#op-5101248-3088535;sigkdd_en#op-5101248-3088535;0.4133900973477827
