;target;prediction_target_1;metric_1
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.641716982618034
cmt_de#c-5403940-4193578;conference_en#c-8170886-3522509;conference_en#c-0975007-5643450;0.5430582775122578
cmt_de#c-6476451-2581059;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.26530966549130186
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.5787808948072096
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.3567808959568816
cmt_de#c-7914897-1988765;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.24376099982557575
cmt_de#c-7914897-1988765;conference_en#c-0918067-8070827;conference_en#c-4444483-2447834;0.24376099982557575
cmt_de#c-8450582-0542304;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.326543254186857
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-0513615-7095489;0.326543254186857
cmt_de#c-9804348-4921383;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.3280245171874352
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-3595853-4712760;0.6763025947113145
