;target;prediction_target_1;metric_1
conference_en#c-4101654-3843816;iasted_de#c-4015742-9338748;iasted_de#c-4015742-9338748;0.5869175281058159
conference_en#c-0845815-7069476;iasted_de#c-4247837-9825706;iasted_de#c-4247837-9825706;0.3869742300705828
conference_en#c-0975007-5643450;iasted_de#c-6456542-4680337;iasted_de#c-6456542-4680337;0.6812092480722723
conference_en#c-1481587-3387008;iasted_de#c-4122268-3045249;iasted_de#c-4122268-3045249;0.4945934135729233
conference_en#c-0949358-2763718;iasted_de#c-6959391-5712840;iasted_de#c-6959391-5712840;0.3944159760113396
conference_en#op-8498965-3154119;iasted_de#op-5817020-0959926;iasted_de#op-5817020-0959926;0.8406517831111773
conference_en#c-5623276-9536395;iasted_de#c-4201911-2867499;iasted_de#c-4201911-2867499;0.39113162786750505
conference_en#c-3417170-2349351;iasted_de#c-1912201-3885408;iasted_de#c-1912201-3885408;0.30156191974750846
conference_en#c-9170184-4807203;iasted_de#c-1608626-3325967;_:Bd94278dbX2D85aeX2D463fX2Dafd6X2Dedb7eaf53011;0.9253345287362985
conference_en#c-9609595-3810460;iasted_de#c-2372932-6696619;iasted_de#c-2372932-6696619;0.4473233533176549
conference_en#c-9312690-4124149;iasted_de#c-5379764-4238098;iasted_de#c-5379764-4238098;0.35566015383998684
