;target;prediction_target_1;metric_1
cmt_en#c-0430420-0075813;conference_de#c-6600254-2450629;conference_de#c-6600254-2450629;0.5835783572522392
cmt_en#c-1611583-0668331;conference_de#c-6828546-9901709;conference_de#c-6828546-9901709;0.33748138239124603
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-1178842-2732173;0.5887235713070829
cmt_en#c-2074692-1147118;conference_de#c-2852856-4092117;conference_de#c-2852856-4092117;0.2547719448132107
cmt_en#c-3027646-3365825;conference_de#c-5694210-3113803;conference_de#c-5694210-3113803;0.2936715671865736
cmt_en#c-3027646-3365825;conference_de#c-3560304-9366401;conference_de#c-5694210-3113803;0.2936715671865736
cmt_en#c-3387453-2881212;conference_de#c-7158328-5483937;conference_de#c-7158328-5483937;0.5183240297133723
cmt_en#c-3969637-3563037;conference_de#c-4756237-0913680;conference_de#c-4756237-0913680;0.817328287204369
cmt_en#c-5375467-1655905;conference_de#c-8195847-6754106;conference_de#c-8195847-6754106;0.45674273342737376
cmt_en#c-6029021-0998116;conference_de#c-6508590-8109709;conference_de#c-6508590-8109709;0.7809159651423682
cmt_en#c-8693270-2767092;conference_de#c-7521012-9493261;conference_de#c-7521012-9493261;0.34205187368256773
cmt_en#ent-1648737-1451089;conference_de#ent-5299945-7988874;conference_de#c-2734491-0275940;0.7767581104898662
cmt_en#op-8575895-0911006;conference_de#op-1945545-2946293;conference_de#op-4621167-8649272;1.02178066671992
