;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-0999620-6234504;0.5839519142321467
iasted_de#op-6084854-8177491;iasted_en#op-2551551-7258727;iasted_en#op-2551551-7258727;0.29353693562225547
iasted_de#c-8179403-0452179;iasted_en#c-5074238-7594931;iasted_en#c-4177590-0761750;0.9334194911078193
iasted_de#c-9031594-4043807;iasted_en#c-2395432-1675191;iasted_en#c-2395432-1675191;0.7566763799463238
iasted_de#c-2460382-4400595;iasted_en#c-5810296-5194443;iasted_en#c-5810296-5194443;0.5809616206535759
iasted_de#c-2293461-8102109;iasted_en#c-7668907-4202016;iasted_en#c-7668907-4202016;0.5749426159537829
iasted_de#op-7053159-9119879;iasted_en#op-5551010-0533591;iasted_en#op-5551010-0533591;0.44602779884806176
iasted_de#c-8622413-8169447;iasted_en#c-6477155-7340247;iasted_en#c-2297379-6540044;0.42237045717165705
iasted_de#c-6860527-3090201;iasted_en#c-6845272-4951822;iasted_en#c-6845272-4951822;0.495480904672561
iasted_de#c-5666659-9715348;iasted_en#c-0579327-2823478;iasted_en#c-0579327-2823478;0.51823443659695
iasted_de#op-9745870-2817977;iasted_en#op-1657852-5105987;iasted_en#op-1657852-5105987;0.32957284292131783
iasted_de#c-2372932-6696619;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.3709999814015137
iasted_de#c-8149245-9898096;iasted_en#c-6928152-7381829;iasted_en#c-6928152-7381829;0.6640986664831651
iasted_de#ent-8278334-1384889;iasted_en#ent-0709927-2922893;iasted_en#ent-2268143-8537869;0.3773207222760096
iasted_de#op-2187218-0667961;iasted_en#op-9347375-6118171;iasted_en#op-9347375-6118171;0.4212837006254295
iasted_de#c-2689809-9740493;iasted_en#c-0347561-8984406;iasted_en#c-0347561-8984406;0.5927832427932239
iasted_de#c-4122268-3045249;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.37020229590233417
iasted_de#c-7617819-9406298;iasted_en#c-4043564-4710049;iasted_en#c-4043564-4710049;0.5103358136114414
iasted_de#c-8276198-4462254;iasted_en#c-1915235-7447973;iasted_en#c-8950037-9879125;0.59310461863794
iasted_de#op-6751872-1328733;iasted_en#op-5062506-9744171;iasted_en#op-5062506-9744171;0.4386337034004233
iasted_de#op-1454375-2517846;iasted_en#op-7676471-2591482;iasted_en#op-7676471-2591482;0.3758335407481266
iasted_de#c-5250081-8006537;iasted_en#c-8723910-5601078;iasted_en#c-8723910-5601078;0.5658923464970231
iasted_de#c-4015742-9338748;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.6032961039018799
