;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.3274008644816991
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.501915042151665
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-9180975-7931356;0.41389778382953285
confOf_de#c-4861385-1103485;confOf_en#c-3826751-4914269;confOf_en#c-3826751-4914269;0.40447835466626586
confOf_de#ent-5642216-9536112;confOf_en#ent-8617792-4471683;confOf_en#ent-8617792-4471683;0.36706894383896826
confOf_de#c-0977717-2950137;confOf_en#c-8897779-7605019;confOf_en#c-8897779-7605019;0.4574272864366141
confOf_de#ent-1987350-8650340;confOf_en#ent-8881801-2437397;confOf_en#ent-8881801-2437397;0.667145804138204
confOf_de#op-4302120-7233512;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.36571247136252616
confOf_de#op-0668174-3248392;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.553604916327441
confOf_de#c-0553488-4726167;confOf_en#c-6834280-4912416;confOf_en#c-0319363-2610594;0.3996908589798245
confOf_de#c-0505747-2615706;confOf_en#c-0319363-2610594;confOf_en#c-0319363-2610594;0.45593637995072583
confOf_de#ent-9176086-3549112;confOf_en#ent-0251198-5994761;results;0.9689614740047303
confOf_de#ent-4883389-8000129;confOf_en#ent-2941342-5653153;confOf_en#ent-2941342-5653153;0.5044064390005253
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.43235256120124227
confOf_de#c-9531197-4911923;confOf_en#c-6062393-2520649;confOf_en#c-6062393-2520649;0.33780071490481217
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.2480890412807671
confOf_de#c-2463275-9197848;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.4024317826766306
confOf_de#ent-2160031-2946829;confOf_en#ent-3180463-1145375;confOf_en#ent-3180463-1145375;0.3429340609458517
confOf_de#op-1722644-5121501;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.3500075689443656
confOf_de#c-1803256-3977939;confOf_en#c-5948332-3267518;confOf_en#c-5948332-3267518;0.474548070311917
confOf_de#ent-9875824-2357826;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.1953792721312339
confOf_de#ent-4553206-2103816;confOf_en#ent-5063643-6711325;results;0.9501386574391925
confOf_de#c-5598437-4596711;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.4058940553026867
confOf_de#c-0211430-8010097;confOf_en#c-9051277-7292388;confOf_en#c-9051277-7292388;0.4537622310190808
confOf_de#c-3756950-6271891;confOf_en#c-2124079-9413007;confOf_en#c-2124079-9413007;0.3222413770697844
confOf_de#op-1761269-0805727;confOf_en#op-4917934-2826750;confOf_en#op-4917934-2826750;0.3210316448317933
confOf_de#c-1543161-5658463;confOf_en#c-1596852-9596957;confOf_en#c-9051277-7292388;0.552800394444648
confOf_de#op-6302277-5481695;confOf_en#op-4096845-6623331;confOf_en#op-4096845-6623331;0.3566597129102475
confOf_de#c-8182861-6425712;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.36291888819144436
confOf_de#op-9873670-8357831;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.3183357175507249
confOf_de#c-0064824-4442977;confOf_en#c-6604321-4337835;confOf_en#c-6604321-4337835;0.30425179037944067
confOf_de#c-6031375-0881001;confOf_en#c-2402287-2880350;confOf_en#c-2402287-2880350;0.289673505095794
confOf_de#c-2472530-7442299;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.3397707226757605
