;target;prediction_target_1;metric_1
sigkdd_de#c-2334066-8778202;sigkdd_en#c-2971568-4653657;sigkdd_en#c-2971568-4653657;0.3610257121873555
sigkdd_de#c-7808089-4928984;sigkdd_en#c-3800373-8198658;sigkdd_en#c-7218530-9921151;0.2867407857867355
sigkdd_de#c-0695531-5412063;sigkdd_en#c-4512427-8358882;sigkdd_en#c-4512427-8358882;0.2526389261306608
sigkdd_de#ent-7525202-3357334;sigkdd_en#ent-1255069-8857146;sigkdd_en#ent-1255069-8857146;0.5034670559168203
sigkdd_de#op-5726044-8910848;sigkdd_en#op-7781882-8225488;sigkdd_en#op-7781882-8225488;0.20952247460918305
sigkdd_de#op-1005860-9935354;sigkdd_en#op-0358048-9340662;sigkdd_en#op-0358048-9340662;0.31269119607207724
sigkdd_de#c-3867058-2838516;sigkdd_en#c-6356419-4596819;sigkdd_en#c-6356419-4596819;0.11594277058479208
sigkdd_de#op-1549992-0103030;sigkdd_en#op-1986890-7846167;sigkdd_en#op-1986890-7846167;0.12314206400165455
sigkdd_de#c-5541011-4485740;sigkdd_en#c-4408098-5910124;sigkdd_en#c-5268789-8381535;0.3043132886795724
sigkdd_de#ent-1646067-6583158;sigkdd_en#ent-0035096-2402503;sigkdd_en#ent-0035096-2402503;0.33656547326996344
sigkdd_de#c-5850113-5122819;sigkdd_en#c-4402529-2023643;sigkdd_en#c-4956507-8354862;0.6247737850494616
sigkdd_de#c-6894624-1804334;sigkdd_en#c-3063358-7931866;sigkdd_en#c-7909190-7180764;0.39272613358253944
sigkdd_de#c-1587059-6708917;sigkdd_en#c-8492343-3188887;sigkdd_en#c-8492343-3188887;0.21032893473896377
sigkdd_de#c-0419564-4277308;sigkdd_en#c-7165036-6864096;sigkdd_en#c-7165036-6864096;0.19845909043946375
sigkdd_de#ent-3892449-0313636;sigkdd_en#ent-4408730-1320391;sigkdd_en#ent-8043331-3659734;0.238864976874635
sigkdd_de#c-5524974-3116937;sigkdd_en#c-7201186-4592712;sigkdd_en#c-7201186-4592712;0.2085763061776682
sigkdd_de#op-6914055-1852287;sigkdd_en#op-0893463-6791984;sigkdd_en#op-0893463-6791984;0.25722243809227896
sigkdd_de#c-6985541-3131901;sigkdd_en#c-7357680-6909888;sigkdd_en#c-7357680-6909888;0.5903590185555745
sigkdd_de#c-4711434-5769445;sigkdd_en#c-8570424-4038182;sigkdd_en#c-8570424-4038182;0.18946589147155474
sigkdd_de#op-2344492-4602298;sigkdd_en#op-1929902-8457454;sigkdd_en#op-1929902-8457454;0.330320194435549
sigkdd_de#op-2222974-4946181;sigkdd_en#op-5788630-0787234;sigkdd_en#op-5788630-0787234;0.13132984491587907
sigkdd_de#c-6801077-9660974;sigkdd_en#c-5243564-3002269;sigkdd_en#c-5268789-8381535;0.27975611405550393
sigkdd_de#c-1463146-3958561;sigkdd_en#c-0410372-0876754;sigkdd_en#c-2971568-4653657;0.24719755940360721
sigkdd_de#ent-9506029-4384266;sigkdd_en#ent-4334834-0139494;sigkdd_en#ent-2375537-3899257;0.4223538507306221
sigkdd_de#c-9937182-0544372;sigkdd_en#c-7218530-9921151;sigkdd_en#c-7218530-9921151;0.4338909418774615
sigkdd_de#op-2955099-2207630;sigkdd_en#op-4778648-3039012;sigkdd_en#op-4778648-3039012;0.18211920183397456
sigkdd_de#c-3777294-9496881;sigkdd_en#c-9656043-0451863;sigkdd_en#c-9656043-0451863;0.4662091553142676
sigkdd_de#ent-3304226-6226138;sigkdd_en#ent-5258086-9094070;sigkdd_en#ent-2375537-3899257;0.625623738035915
sigkdd_de#c-7606899-8734332;sigkdd_en#c-5268789-8381535;sigkdd_en#c-5268789-8381535;0.24428683746567234
sigkdd_de#c-0094164-6634357;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.5120783217845305
sigkdd_de#c-4126640-5313604;sigkdd_en#c-3869300-1065009;sigkdd_en#c-7909190-7180764;0.2628715590772672
sigkdd_de#op-3816868-2166376;sigkdd_en#op-3129961-5988302;sigkdd_en#op-3129961-5988302;0.22571872787732408
sigkdd_de#c-7753839-9560987;sigkdd_en#c-9932783-9574589;sigkdd_en#c-9975477-9791635;0.2649313807700225
sigkdd_de#c-6469555-3746715;sigkdd_en#c-3661201-8652994;sigkdd_en#c-9975477-9791635;0.3118682675050093
sigkdd_de#ent-1700090-3901005;sigkdd_en#ent-8043331-3659734;sigkdd_en#ent-4408730-1320391;0.27905189761148963
sigkdd_de#c-6537612-7287795;sigkdd_en#c-6558007-3948763;sigkdd_en#c-3869300-1065009;0.32820872828015407
sigkdd_de#ent-3844426-4630787;sigkdd_en#ent-5985310-3715518;student;0.5630440563108825
sigkdd_de#op-2375848-3510341;sigkdd_en#op-4440329-9009612;sigkdd_en#op-4440329-9009612;0.24803309086975503
sigkdd_de#c-2769827-8195865;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.13429084754338602
sigkdd_de#c-9920303-9624193;sigkdd_en#c-1615562-8494578;sigkdd_en#c-1615562-8494578;0.3146801281064701
sigkdd_de#c-5796626-5205866;sigkdd_en#c-3782386-9035854;sigkdd_en#c-8614980-2531823;0.2955440215031076
sigkdd_de#c-9302905-7296086;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.13505087454382772
sigkdd_de#c-7203961-8308851;sigkdd_en#c-4561947-0725440;sigkdd_en#c-4561947-0725440;0.16408925582271147
sigkdd_de#c-4301546-5674434;sigkdd_en#c-2288341-0956338;owl#Ontology;0.33503189520876625
sigkdd_de#c-7099779-6421757;sigkdd_en#c-2636703-8787934;sigkdd_en#c-2636703-8787934;0.11492229985232746
sigkdd_de#c-6217268-0289211;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.20068292541136307
sigkdd_de#c-9282764-4133286;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.2237058958938279
sigkdd_de#ent-0138865-5902109;sigkdd_en#ent-6795922-7675825;sigkdd_en#ent-4408730-1320391;0.23356307181826239
sigkdd_de#ent-0366388-0658866;sigkdd_en#ent-6945476-8980997;sigkdd_en#ent-5985310-3715518;0.4898279058755688
sigkdd_de#c-1052931-1641701;sigkdd_en#c-5937062-8520809;sigkdd_en#c-9656043-0451863;0.4000390959457431
sigkdd_de#c-9038315-6127488;sigkdd_en#c-1214605-4064522;sigkdd_en#c-1214605-4064522;0.3738810657343119
sigkdd_de#c-7156294-5892481;sigkdd_en#c-8811480-5015529;sigkdd_en#c-8811480-5015529;0.20265736963872977
