;target;prediction_target_1;metric_1
iasted_de#c-0797283-7567336;sigkdd_en#c-1144746-3205183;sigkdd_en#c-1144746-3205183;0.5587175767477733
iasted_de#c-8671213-0734462;sigkdd_en#c-3800373-8198658;sigkdd_en#c-8811480-5015529;0.9741101116720036
iasted_de#c-6062149-5112025;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.350834536316993
iasted_de#c-1107430-2739895;sigkdd_en#c-6356419-4596819;sigkdd_en#c-6356419-4596819;0.452961305612407
iasted_de#c-5119860-9323326;sigkdd_en#c-1350325-0780321;sigkdd_en#c-1350325-0780321;0.33946914858240995
iasted_de#c-3927158-8920929;sigkdd_en#c-7201186-4592712;sigkdd_en#c-7201186-4592712;0.6904474789636734
iasted_de#c-5938213-2144206;sigkdd_en#c-4402529-2023643;sigkdd_en#c-4402529-2023643;0.9214883281490821
iasted_de#c-6456542-4680337;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.22750792451794757
iasted_de#c-2581999-3385666;sigkdd_en#c-9975477-9791635;sigkdd_en#ent-2375537-3899257;0.92020229696977
iasted_de#c-8935754-6759043;sigkdd_en#c-9932783-9574589;sigkdd_en#c-9932783-9574589;0.9858841664426523
iasted_de#c-4423435-9668662;sigkdd_en#c-4561947-0725440;sigkdd_en#c-4561947-0725440;0.336287975042931
iasted_de#c-1912201-3885408;sigkdd_en#c-8570424-4038182;sigkdd_en#c-8570424-4038182;0.24257222710147686
