;target;prediction_target_1;metric_1
conference_en#c-0153241-8442178;sigkdd_de#c-0695531-5412063;sigkdd_de#c-0695531-5412063;0.4318316485192635
conference_en#op-5728539-7928456;sigkdd_de#op-2955099-2207630;sigkdd_de#op-2955099-2207630;0.4534313131280356
conference_en#c-0975007-5643450;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.3327918911948234
conference_en#c-2974852-3474918;sigkdd_de#c-6469555-3746715;sigkdd_de#op-1549992-0103030;0.9303895003283889
conference_en#c-7121259-3662514;sigkdd_de#c-1052931-1641701;sigkdd_de#c-3777294-9496881;0.7366155684706509
conference_en#c-9453090-9458986;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.6771122968249397
conference_en#ent-4516568-5595755;sigkdd_de#ent-0138865-5902109;sigkdd_de#c-9302905-7296086;0.6925488343352049
conference_en#c-3746645-9598977;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.19033393106755608
conference_en#c-5005169-5278256;sigkdd_de#c-4301546-5674434;sigkdd_de#c-3777294-9496881;0.6822568888709191
conference_en#c-9312690-4124149;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.5791716164113101
conference_en#c-6525918-2089133;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.362094657331713
conference_en#c-7081035-6117083;sigkdd_de#c-0094164-6634357;sigkdd_de#c-0094164-6634357;0.5178796131954609
