;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.36539693701049886
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.3583679410891351
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-9180975-7931356;0.5194876657250623
confOf_de#op-5847282-2267282;confOf_en#op-4178089-9091832;confOf_en#op-4178089-9091832;0.46059939663773003
confOf_de#ent-5642216-9536112;confOf_en#ent-8617792-4471683;confOf_en#ent-8617792-4471683;0.5747463208794515
confOf_de#ent-9378447-8956054;confOf_en#ent-1700978-0800293;confOf_en#ent-1700978-0800293;0.6070119077790926
confOf_de#ent-1987350-8650340;confOf_en#ent-8881801-2437397;confOf_en#ent-8881801-2437397;0.4689807512812694
confOf_de#c-9260969-5532672;confOf_en#c-4918829-3001709;confOf_en#c-1546212-3884536;0.4313071947744778
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.46560892088543776
confOf_de#c-0126412-6208972;confOf_en#c-9402184-3168847;confOf_en#c-9402184-3168847;0.5014562090855861
confOf_de#c-4702748-1915950;confOf_en#c-3868234-1876752;confOf_en#c-3868234-1876752;0.4269392403547093
confOf_de#ent-3116369-8783570;confOf_en#ent-4532610-9643499;confOf_en#ent-4532610-9643499;0.4116399043474769
confOf_de#ent-6095931-1291276;confOf_en#ent-6379747-8396882;confOf_en#ent-6379747-8396882;0.3081945216185459
confOf_de#c-0553488-4726167;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.4461314056413411
confOf_de#ent-5550018-6700451;confOf_en#ent-3724946-8160347;confOf_en#ent-3724946-8160347;0.522673460753652
confOf_de#c-0505747-2615706;confOf_en#c-0319363-2610594;confOf_en#c-0319363-2610594;0.4480510299337322
confOf_de#ent-5742004-8000728;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.4390387023768644
confOf_de#c-2022407-5202362;confOf_en#c-1546212-3884536;confOf_en#c-1546212-3884536;0.3568327539198482
confOf_de#ent-9176086-3549112;confOf_en#ent-0251198-5994761;parallel;0.86812143452353
confOf_de#ent-4883389-8000129;confOf_en#ent-2941342-5653153;confOf_en#ent-2941342-5653153;0.4294488868180606
confOf_de#ent-3531218-9750426;confOf_en#ent-9012565-8739542;confOf_en#ent-9012565-8739542;0.4564900296030062
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.5579504106204246
confOf_de#c-9531197-4911923;confOf_en#c-6062393-2520649;confOf_en#c-6062393-2520649;0.3784104992717246
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.4552023909000978
confOf_de#c-2463275-9197848;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.7506991902603818
confOf_de#c-3286368-6722233;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.37630783785301025
confOf_de#ent-6312613-2029317;confOf_en#ent-5934500-8154939;confOf_en#ent-5934500-8154939;0.46102658147220005
confOf_de#c-7709681-8293969;confOf_en#c-5701075-1274855;confOf_en#c-5701075-1274855;0.5582935324621182
confOf_de#ent-2160031-2946829;confOf_en#ent-3180463-1145375;confOf_en#ent-3180463-1145375;0.3966763569203929
confOf_de#ent-1324673-6996465;confOf_en#ent-2971893-5806604;confOf_en#ent-3180463-1145375;0.6116347698387632
confOf_de#c-4345951-5264002;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.5641282047568472
confOf_de#op-5694068-8845542;confOf_en#op-7502401-8040051;confOf_en#op-7502401-8040051;0.4363834373535297
confOf_de#ent-9875824-2357826;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.36364164232167945
confOf_de#c-5598437-4596711;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.4979561082242836
confOf_de#c-0211430-8010097;confOf_en#c-9051277-7292388;confOf_en#c-9051277-7292388;0.5715103393042423
confOf_de#c-3756950-6271891;confOf_en#c-2124079-9413007;confOf_en#c-2124079-9413007;0.46846144271238993
confOf_de#op-4508989-0566286;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.4183645585133851
confOf_de#c-6386839-2509220;confOf_en#c-3107403-2678849;confOf_en#c-3107403-2678849;0.3956232002715685
confOf_de#c-1543161-5658463;confOf_en#c-1596852-9596957;confOf_en#c-1596852-9596957;0.7350236794534397
confOf_de#op-6302277-5481695;confOf_en#op-4096845-6623331;confOf_en#op-4096845-6623331;0.41470073448171013
confOf_de#c-6723589-0344433;confOf_en#c-6603668-7634311;confOf_en#c-6603668-7634311;0.5127194026173232
confOf_de#ent-0835076-0487700;confOf_en#ent-5730464-5416292;confOf_en#ent-5730464-5416292;0.5290489627872949
confOf_de#op-9873670-8357831;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.5619320944054885
