;target;prediction_target_1;metric_1
conference_en#c-5450625-9274279;confOf_de#c-2472530-7442299;confOf_de#c-2472530-7442299;0.20205674454489325
conference_en#c-8279198-9011918;confOf_de#c-3756950-6271891;confOf_de#c-3756950-6271891;0.15155831401268932
conference_en#c-7255821-5359025;confOf_de#c-6031375-0881001;confOf_de#c-6031375-0881001;0.7503335918507701
conference_en#c-8376732-6542959;confOf_de#c-7620981-0130792;confOf_de#c-7620981-0130792;0.5832064368414513
conference_en#c-3746645-9598977;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.2862607186762137
conference_en#c-6525918-2089133;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.4487541877745082
conference_en#c-0949358-2763718;confOf_de#c-2463275-9197848;confOf_de#c-2463275-9197848;0.3122850326596263
conference_en#c-4444483-2447834;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.3697819342479169
conference_en#c-0975007-5643450;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.20510411556353753
conference_en#ent-9588809-0668690;confOf_de#ent-9875824-2357826;confOf_de#ent-9875824-2357826;0.8062729783469101
conference_en#ent-8856556-5729357;confOf_de#ent-0303881-5975791;confOf_de#ent-0303881-5975791;0.8358973200964819
