;target;prediction_target_1;metric_1
cmt_en#op-2611597-4191733;confOf_de#op-1722644-5121501;confOf_de#op-1722644-5121501;0.5201788486270623
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-2005207-6803071;0.6445403680815037
cmt_en#c-8066557-3199962;confOf_de#c-4973711-7358267;confOf_de#c-4973711-7358267;0.3178680191568664
cmt_en#c-3355504-9442806;confOf_de#c-3286368-6722233;confOf_de#c-3286368-6722233;0.4233329966000119
cmt_en#ent-7592571-9671564;confOf_de#ent-5742004-8000728;confOf_de#ent-5742004-8000728;0.38408718763197014
cmt_en#c-3969637-3563037;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.7988151664361868
cmt_en#c-4413043-1523228;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.3820307434199356
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.5185734278622258
cmt_en#op-7452997-4133095;confOf_de#op-9873670-8357831;confOf_de#op-9873670-8357831;0.563358672476541
cmt_en#c-4062369-5383392;confOf_de#c-4439571-8274936;confOf_de#c-4439571-8274936;0.38216925657197465
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.40723608561708585
cmt_en#c-9519178-7885109;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.2981615530455096
cmt_en#c-5409377-9286012;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.21088911379068026
cmt_en#ent-1648737-1451089;confOf_de#ent-7472904-1496645;confOf_de#c-8403504-7828299;1.0406236592454858
