;target;prediction_target_1;metric_1
conference_en#c-4101654-3843816;iasted_de#c-4015742-9338748;iasted_de#c-4015742-9338748;0.4988018963707853
conference_en#c-6525918-2089133;iasted_de#c-2379893-4624688;iasted_de#c-2379893-4624688;0.5311273053251804
conference_en#c-0975007-5643450;iasted_de#c-6456542-4680337;iasted_de#c-6456542-4680337;0.4519548387601199
conference_en#c-1481587-3387008;iasted_de#c-4122268-3045249;iasted_de#c-4122268-3045249;0.6144044141220104
conference_en#c-9453090-9458986;iasted_de#c-6062149-5112025;iasted_de#c-6062149-5112025;0.550492071644734
conference_en#c-0949358-2763718;iasted_de#c-6959391-5712840;iasted_de#c-6959391-5712840;0.5096976799042554
conference_en#op-8498965-3154119;iasted_de#op-5817020-0959926;iasted_de#op-5817020-0959926;0.7153841731475894
conference_en#c-5623276-9536395;iasted_de#c-4201911-2867499;iasted_de#c-4201911-2867499;0.4643488656516314
conference_en#c-3417170-2349351;iasted_de#c-1912201-3885408;iasted_de#c-1912201-3885408;0.4265184992610004
conference_en#c-9170184-4807203;iasted_de#c-1608626-3325967;iasted_de#op-0368918-3051572;0.8185334083426863
conference_en#c-2974852-3474918;iasted_de#c-9964978-6784653;iasted_de#c-9964978-6784653;0.5597615163594152
conference_en#c-9609595-3810460;iasted_de#c-2372932-6696619;iasted_de#c-2372932-6696619;0.5121864475404382
conference_en#c-9312690-4124149;iasted_de#c-5379764-4238098;iasted_de#c-5379764-4238098;0.2953101608530536
