;target;prediction_target_1;metric_1
iasted_en#c-3616860-0256541;sigkdd_de#c-1670757-7005751;sigkdd_de#c-1670757-7005751;0.6688841545980163
iasted_en#c-4646685-6576496;sigkdd_de#c-6469555-3746715;sigkdd_de#c-1975722-3062538;0.8831457035907205
iasted_en#c-8889798-1079873;sigkdd_de#c-7808089-4928984;sigkdd_de#c-5850113-5122819;0.928397830072767
iasted_en#c-7464317-0926432;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.355832742100065
iasted_en#c-9595802-8962494;sigkdd_de#c-3867058-2838516;sigkdd_de#c-3867058-2838516;0.5424012281668932
iasted_en#c-9677685-8341994;sigkdd_de#c-3477390-2381487;sigkdd_de#c-3477390-2381487;0.27458826396365743
iasted_en#c-0409829-5411561;sigkdd_de#c-5524974-3116937;sigkdd_de#c-5524974-3116937;0.6542851138977775
iasted_en#c-3433144-4931823;sigkdd_de#c-5850113-5122819;sigkdd_de#c-5850113-5122819;0.7968269209956133
iasted_en#c-7587641-3301519;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.30282214592442963
iasted_en#c-3686523-4526492;sigkdd_de#c-9038315-6127488;sigkdd_de#c-9038315-6127488;0.5115454700453079
iasted_en#c-0995110-2084431;sigkdd_de#c-7783492-1910067;sigkdd_de#c-7783492-1910067;0.8362853316918648
iasted_en#c-3390147-9518013;sigkdd_de#c-7753839-9560987;sigkdd_de#c-7753839-9560987;0.9643801521524341
iasted_en#c-2396070-5020573;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.4730201655875815
iasted_en#c-3110153-2691987;sigkdd_de#c-7203961-8308851;sigkdd_de#c-7203961-8308851;0.42421444050945695
iasted_en#c-4700670-6960019;sigkdd_de#c-4711434-5769445;sigkdd_de#c-4711434-5769445;0.16918753829264208
