;target;prediction_target_1;metric_1
conference_de#c-2365620-6793184;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.319606563855307
conference_de#c-2731220-6600456;iasted_en#c-0887025-3124194;iasted_en#c-0887025-3124194;0.27930732545527015
conference_de#c-2807153-3693543;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.5126793155155881
conference_de#c-6041715-6986615;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.35728859975918054
conference_de#c-7096317-3412127;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.5584512438522234
conference_de#c-1479504-0321675;iasted_en#c-2297379-6540044;iasted_en#c-2297379-6540044;0.43983129163581236
conference_de#c-1308924-1537645;iasted_en#c-3686523-4526492;iasted_en#c-3686523-4526492;0.33525516885244633
conference_de#c-1450635-6067268;iasted_en#c-6088495-8861567;iasted_en#c-2980826-1784096;0.9411952723959255
conference_de#c-6508590-8109709;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.61211327002897
conference_de#c-9365621-4628022;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.519249256360405
conference_de#c-7521012-9493261;iasted_en#c-0201298-3231355;iasted_en#c-0201298-3231355;0.3689701030631143
