;target;prediction_target_1;metric_1
cmt_en#c-0430420-0075813;conference_de#c-6600254-2450629;conference_de#c-6600254-2450629;0.3516550075497765
cmt_en#c-0430420-0075813;conference_de#c-1810344-8487780;conference_de#c-6600254-2450629;0.3516550075497765
cmt_en#c-1611583-0668331;conference_de#c-6828546-9901709;conference_de#c-6828546-9901709;0.33800621351480253
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-9185334-5782431;0.7469561499457438
cmt_en#c-2074692-1147118;conference_de#c-2852856-4092117;conference_de#c-2852856-4092117;0.34308675486670825
cmt_en#c-3027646-3365825;conference_de#c-3560304-9366401;conference_de#c-5694210-3113803;0.596982406748024
cmt_en#c-5375467-1655905;conference_de#c-8195847-6754106;conference_de#c-2493179-8478854;0.5693946577774763
cmt_en#c-6029021-0998116;conference_de#c-6508590-8109709;conference_de#c-6508590-8109709;0.9155012931495939
cmt_en#c-8693270-2767092;conference_de#c-7521012-9493261;conference_de#c-7521012-9493261;0.35981730201801687
cmt_en#c-9519178-7885109;conference_de#c-2807153-3693543;conference_de#c-2807153-3693543;0.26828167922422685
cmt_en#ent-1648737-1451089;conference_de#ent-5299945-7988874;_:B49172ad6X2De185X2D40c4X2D9194X2D5a1298ca2d60;0.6845980405782249
cmt_en#op-2798366-1946309;conference_de#op-4621167-8649272;conference_de#op-4621167-8649272;0.7650043100254317
cmt_en#op-8575895-0911006;conference_de#op-1945545-2946293;conference_de#op-4621167-8649272;0.7920827866839826
