;target;prediction_target_1;metric_1
conference_de#c-8237344-7989230;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.29054179035491
conference_de#ent-5299945-7988874;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.7450484199420804
conference_de#c-2734491-0275940;confOf_en#c-2402287-2880350;confOf_en#c-2402287-2880350;0.7556462395554618
conference_de#c-5236249-1093814;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.521517093946717
conference_de#c-0369442-7501730;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.2147697426295843
conference_de#c-1479504-0321675;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.3894114543411719
conference_de#c-5694210-3113803;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.20440685639139125
conference_de#op-4737759-4638811;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.4828348265331758
conference_de#c-2852856-4092117;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.3468078909457652
conference_de#ent-4771576-9028029;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.6829897592832473
conference_de#ent-3965541-6558239;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.773175824801592
