;target;prediction_target_1;metric_1
cmt_en#c-0430420-0075813;conference_de#c-6600254-2450629;conference_de#c-6600254-2450629;0.46653310469497333
cmt_en#c-0430420-0075813;conference_de#c-1810344-8487780;conference_de#c-6600254-2450629;0.46653310469497333
cmt_en#c-1611583-0668331;conference_de#c-6828546-9901709;conference_de#c-6828546-9901709;0.2732011137035146
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-9185334-5782431;0.55870247786235
cmt_en#c-2074692-1147118;conference_de#c-2852856-4092117;conference_de#c-2852856-4092117;0.34245240302196267
cmt_en#c-3027646-3365825;conference_de#c-3560304-9366401;conference_de#c-3560304-9366401;0.5347820962520604
cmt_en#c-3387453-2881212;conference_de#c-7158328-5483937;conference_de#c-7158328-5483937;0.47163895679338164
cmt_en#c-3969637-3563037;conference_de#c-4756237-0913680;conference_de#c-4756237-0913680;0.9274476635309361
cmt_en#c-5375467-1655905;conference_de#c-8195847-6754106;conference_de#c-8195847-6754106;0.5879519155389594
cmt_en#c-6029021-0998116;conference_de#c-6508590-8109709;conference_de#c-6508590-8109709;0.8864721379476146
cmt_en#c-8693270-2767092;conference_de#c-7521012-9493261;conference_de#c-7521012-9493261;0.32442898505063417
cmt_en#ent-1648737-1451089;conference_de#ent-5299945-7988874;conference_de#c-6804730-6814876;0.8444854700926798
cmt_en#op-2798366-1946309;conference_de#op-4621167-8649272;conference_de#op-1806324-3972847;0.9541780633000144
cmt_en#op-8575895-0911006;conference_de#op-1945545-2946293;conference_de#op-1945545-2946293;0.9856774152417969
