;target;prediction_target_1;metric_1
conference_en#c-4101654-3843816;iasted_de#c-4015742-9338748;iasted_de#c-4015742-9338748;0.5214678741554072
conference_en#c-0845815-7069476;iasted_de#c-4247837-9825706;iasted_de#c-4247837-9825706;0.40041453510142755
conference_en#c-6525918-2089133;iasted_de#c-2379893-4624688;iasted_de#c-2379893-4624688;0.4105265390067672
conference_en#c-0975007-5643450;iasted_de#c-6456542-4680337;iasted_de#c-6456542-4680337;0.4941846846060526
conference_en#c-1481587-3387008;iasted_de#c-4122268-3045249;iasted_de#c-4122268-3045249;0.4716921675616553
conference_en#c-9453090-9458986;iasted_de#c-6062149-5112025;iasted_de#c-6062149-5112025;0.5021203698903474
conference_en#c-0949358-2763718;iasted_de#c-6959391-5712840;iasted_de#c-6959391-5712840;0.5089516025419596
conference_en#op-8498965-3154119;iasted_de#op-5817020-0959926;iasted_de#op-5817020-0959926;0.8319033047857995
conference_en#c-3417170-2349351;iasted_de#c-1912201-3885408;iasted_de#c-1912201-3885408;0.31732698670635456
conference_en#c-9609595-3810460;iasted_de#c-2372932-6696619;iasted_de#c-2372932-6696619;0.5478983432391814
