;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-9362556-8487981;0.562347188543816
iasted_de#op-6084854-8177491;iasted_en#op-2551551-7258727;iasted_en#op-2551551-7258727;0.25783089899114625
iasted_de#c-8179403-0452179;iasted_en#c-5074238-7594931;iasted_en#c-4162004-2124556;1.01992032716662
iasted_de#c-9031594-4043807;iasted_en#c-2395432-1675191;iasted_en#c-2395432-1675191;0.5765234785658554
iasted_de#c-1251407-2550325;iasted_en#c-5688901-6766233;iasted_en#c-5688901-6766233;0.38301042296463667
iasted_de#c-2460382-4400595;iasted_en#c-5810296-5194443;iasted_en#c-5810296-5194443;0.6751771373803095
iasted_de#op-7053159-9119879;iasted_en#op-5551010-0533591;iasted_en#op-5551010-0533591;0.4542192328019132
iasted_de#c-6860527-3090201;iasted_en#c-6845272-4951822;iasted_en#c-6845272-4951822;0.625528469449372
iasted_de#c-5741973-6764656;iasted_en#c-9123004-2171579;iasted_en#c-9123004-2171579;0.6458129242947197
iasted_de#c-5666659-9715348;iasted_en#c-0579327-2823478;iasted_en#c-0579327-2823478;0.3654573106923616
iasted_de#c-2372932-6696619;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.3140205058562339
iasted_de#c-8149245-9898096;iasted_en#c-6928152-7381829;iasted_en#c-6928152-7381829;0.6763868278129097
iasted_de#ent-8278334-1384889;iasted_en#ent-0709927-2922893;iasted_en#ent-0709927-2922893;0.39968191537487047
iasted_de#op-2187218-0667961;iasted_en#op-9347375-6118171;iasted_en#op-9347375-6118171;0.5034153220816093
iasted_de#c-4122268-3045249;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.3446736346059544
iasted_de#op-6751872-1328733;iasted_en#op-5062506-9744171;iasted_en#op-5062506-9744171;0.44511862929543744
iasted_de#op-1454375-2517846;iasted_en#op-7676471-2591482;iasted_en#op-7676471-2591482;0.3415672133638178
iasted_de#c-4015742-9338748;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.5173360831840671
iasted_de#c-1107430-2739895;iasted_en#c-9595802-8962494;iasted_en#c-9595802-8962494;0.3312382924157576
iasted_de#ent-6399187-3902154;iasted_en#ent-6120875-2823827;iasted_en#ent-6120875-2823827;0.469985699166367
iasted_de#op-5817020-0959926;iasted_en#op-1301961-3228494;iasted_en#op-1301961-3228494;0.38441899852774764
iasted_de#c-8274838-7479397;iasted_en#c-5985478-2794400;iasted_en#c-5985478-2794400;0.6579075564904304
iasted_de#op-4035584-0471414;iasted_en#op-1296071-2287446;iasted_en#op-1296071-2287446;0.3649119484888016
iasted_de#c-8347400-2963000;iasted_en#c-9602441-1001976;iasted_en#c-9602441-1001976;0.34026523583749285
