;target;prediction_target_1;metric_1
iasted_de#c-0797283-7567336;sigkdd_en#c-1144746-3205183;sigkdd_en#c-1144746-3205183;0.6486384668552732
iasted_de#c-9964978-6784653;sigkdd_en#c-3661201-8652994;owl#DatatypeProperty;1.0927315299118252
iasted_de#c-8671213-0734462;sigkdd_en#c-3800373-8198658;sigkdd_en#c-4956507-8354862;0.8721550045574741
iasted_de#c-6062149-5112025;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.3897459169915478
iasted_de#c-1107430-2739895;sigkdd_en#c-6356419-4596819;sigkdd_en#c-6356419-4596819;0.4483365112945874
iasted_de#c-5119860-9323326;sigkdd_en#c-1350325-0780321;sigkdd_en#c-1350325-0780321;0.3049518194087876
iasted_de#c-3927158-8920929;sigkdd_en#c-7201186-4592712;sigkdd_en#c-7201186-4592712;0.6393141432134112
iasted_de#c-5938213-2144206;sigkdd_en#c-4402529-2023643;sigkdd_en#c-6722062-3545965;0.8974418641907015
iasted_de#c-6456542-4680337;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.2122132854762573
iasted_de#c-2581999-3385666;sigkdd_en#c-9975477-9791635;sigkdd_en#c-9975477-9791635;0.9921323289844052
iasted_de#c-8935754-6759043;sigkdd_en#c-9932783-9574589;sigkdd_en#ent-2375537-3899257;1.0926457893891952
iasted_de#c-2379893-4624688;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.46142372205663473
iasted_de#c-4423435-9668662;sigkdd_en#c-4561947-0725440;sigkdd_en#c-4561947-0725440;0.42963694923557116
iasted_de#c-1912201-3885408;sigkdd_en#c-8570424-4038182;sigkdd_en#c-8570424-4038182;0.1924909144646424
