;target;prediction_target_1;metric_1
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.6325081409147404
cmt_de#c-3386094-8929437;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.4415400883613467
cmt_de#c-6476451-2581059;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.31741243361673444
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.38411986731226805
cmt_de#c-7914897-1988765;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.30043647951675523
cmt_de#c-7914897-1988765;conference_en#c-0918067-8070827;conference_en#c-4444483-2447834;0.30043647951675523
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.13485844161131746
cmt_de#c-9804348-4921383;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.4427150140212859
cmt_de#ent-4152612-5306614;conference_en#ent-4516568-5595755;degree;0.7178612876387838
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-6979143-6235556;0.8184810242762254
