;target;prediction_target_1;metric_1
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.43328971393215543
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.4211703018325278
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;cmt_en#ent-1648737-1451089;0.6145303760722779
cmt_de#ent-3421629-9074086;cmt_en#ent-7385850-0767179;cmt_en#ent-7312475-4843858;0.3290226215675809
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-4815057-3921498;0.33728069312356446
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-8994929-8698791;0.8375169585949513
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.38131083875984734
cmt_de#op-6999775-8658617;cmt_en#op-2649033-9712859;cmt_en#op-2649033-9712859;0.4284202900233068
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-4931010-8867602;0.8721893290334869
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.385413233428085
cmt_de#c-5403940-4193578;cmt_en#c-1819859-8467443;cmt_en#c-1819859-8467443;0.6134623977962343
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.5759375641044328
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.2746797379419553
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7452997-4133095;0.4480953344255494
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-1997920-3046898;0.4718831617294482
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.2874568465950113
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-3959626-1362323;0.5202946808978272
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.34942416226156325
cmt_de#op-5317809-8410933;cmt_en#op-5714477-9488711;cmt_en#op-5714477-9488711;0.340611360777843
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-4204612-8254155;0.4603266338253128
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.3648783368555306
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.3053088100437373
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.6870315324936462
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-7822155-2346526;0.6123753910028596
cmt_de#op-2899154-8812515;cmt_en#op-1599762-7967134;cmt_en#op-1599762-7967134;0.26160643489443536
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.41315992122883616
cmt_de#c-2276280-7516043;cmt_en#c-3387453-2881212;_:B1d4b1ed1X2D3525X2D40b3X2D84c9X2Dcace562e72fe;0.583399162780089
cmt_de#op-8743766-4367043;cmt_en#op-6688605-5254034;cmt_en#op-9305729-7081388;0.4354593386817556
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.42608405496821267
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.4723169696066517
