;target;prediction_target_1;metric_1
cmt_de#c-2036030-6478102;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.4224796508709589
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.4635116351802747
cmt_de#c-3386094-8929437;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.32940415480092605
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.5987967922142434
cmt_de#c-8450582-0542304;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.3487612663830618
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-0513615-7095489;0.3487612663830618
cmt_de#c-9804348-4921383;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.26893178061369366
cmt_de#ent-4152612-5306614;conference_en#ent-4516568-5595755;conference_en#c-7255821-5359025;0.718977728725965
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.5378405309947449
cmt_de#op-8350630-9441009;conference_en#op-3595853-4712760;conference_en#op-3595853-4712760;0.552833741675761
