;target;prediction_target_1;metric_1
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.1939994938662974
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-9180975-7931356;0.3036207342170421
confOf_de#ent-7472904-1496645;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.2044408036822124
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.2994310734038273
confOf_de#ent-6095931-1291276;confOf_en#ent-6379747-8396882;confOf_en#ent-6379747-8396882;0.2308884625688701
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.2616741145054993
confOf_de#op-6302277-5481695;confOf_en#op-4096845-6623331;confOf_en#op-4096845-6623331;0.2548589803090146
confOf_de#c-0064824-4442977;confOf_en#c-6604321-4337835;confOf_en#c-6604321-4337835;0.16662859959765278
confOf_de#op-7917558-9062341;confOf_en#op-3802438-8167706;confOf_en#op-3802438-8167706;0.15264945043673558
confOf_de#op-9878680-0383531;confOf_en#op-5103134-5854227;confOf_en#op-5103134-5854227;0.3061599696196344
confOf_de#c-8168019-5837036;confOf_en#c-6603806-5996118;confOf_en#c-6603806-5996118;0.37374405073311656
confOf_de#c-2683474-6183904;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.37667829078782894
