;target;prediction_target_1;metric_1
cmt_de#ent-3421629-9074086;cmt_en#ent-7385850-0767179;cmt_en#ent-1689293-3812948;0.38181740089088606
cmt_de#op-4119782-8661590;cmt_en#op-3343741-2145006;cmt_en#op-6746253-0545056;0.4812376147007843
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-4815057-3921498;0.3761933424011387
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-0261939-6958814;0.9738737802317244
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.3079065449655781
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-6746253-0545056;0.8096227277377975
cmt_de#op-4267478-9907556;cmt_en#op-5548425-1932115;cmt_en#op-5548425-1932115;0.5130495543928035
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.3360979403731042
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.4308539291223482
cmt_de#op-7066350-8155982;cmt_en#op-7758730-0930874;cmt_en#op-7758730-0930874;0.4473987777646299
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.5110941825390068
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-4999283-7971326;0.724685942379942
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.1455867540892231
cmt_de#c-2276280-7516043;cmt_en#c-3387453-2881212;owl#equivalentClass;0.48767187248654004
cmt_de#op-8743766-4367043;cmt_en#op-6688605-5254034;cmt_en#op-6688605-5254034;0.411218602283007
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.27732342259047466
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.34481956153520626
cmt_de#op-9131907-0871491;cmt_en#op-8724798-7163354;cmt_en#op-8724798-7163354;0.42269397388457147
cmt_de#op-3286624-6409948;cmt_en#op-2852745-7435295;cmt_en#op-2852745-7435295;0.3726054174096055
cmt_de#c-5336831-3519560;cmt_en#c-1998894-5296562;cmt_en#c-1998894-5296562;0.34667620686824885
cmt_de#op-1108172-2047481;cmt_en#op-6746253-0545056;cmt_en#op-6746253-0545056;0.4457859841887298
cmt_de#ent-7649389-3921230;cmt_en#ent-7669016-6331082;cmt_en#ent-7669016-6331082;0.24919785686489368
cmt_de#c-5888543-5318130;cmt_en#c-7224102-6220619;cmt_en#c-7224102-6220619;0.32711892509452467
cmt_de#op-8350630-9441009;cmt_en#op-2798366-1946309;cmt_en#op-2798366-1946309;0.3788107569795802
cmt_de#c-2600954-3812137;cmt_en#c-3355504-9442806;cmt_en#c-3355504-9442806;0.37774341257087585
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0491014-8723432;0.5351150193813254
cmt_de#op-4385319-7522274;cmt_en#op-1288474-9125864;cmt_en#op-1288474-9125864;0.4271447596748496
cmt_de#c-7221579-7498183;cmt_en#c-3969637-3563037;respect;0.533951362709721
cmt_de#c-9309131-3067692;cmt_en#c-3945313-3684065;cmt_en#c-3945313-3684065;0.48941799307448425
cmt_de#c-5356419-0853732;cmt_en#c-2079829-2275666;cmt_en#c-2079829-2275666;0.5346296237918112
cmt_de#c-8330184-9824066;cmt_en#c-2282104-8815481;cmt_en#c-2282104-8815481;0.8398871378472694
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-6283707-9260731;0.4839396892385991
cmt_de#op-0603706-6484397;cmt_en#op-7822155-2346526;cmt_en#op-7822155-2346526;0.3420137826916151
cmt_de#c-5325416-2794476;cmt_en#c-6817901-7377121;cmt_en#c-6817901-7377121;0.23119452732636012
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-3673731-3704063;0.48305487247020007
cmt_de#op-2406368-4587748;cmt_en#op-0455003-6077543;cmt_en#op-0455003-6077543;0.851707568400491
