;target;prediction_target_1;metric_1
conference_de#c-2365620-6793184;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.3395952520638473
conference_de#c-2731220-6600456;iasted_en#c-0887025-3124194;iasted_en#c-0887025-3124194;0.28498851742473263
conference_de#c-6041715-6986615;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.4182832300064348
conference_de#c-7096317-3412127;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.5333468700269571
conference_de#c-1479504-0321675;iasted_en#c-2297379-6540044;iasted_en#c-2297379-6540044;0.28021103067539327
conference_de#op-5642484-4870984;iasted_en#op-1301961-3228494;iasted_en#op-1301961-3228494;0.8731939660965479
conference_de#c-2883309-0508630;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.44350158147210705
conference_de#c-1450635-6067268;iasted_en#c-6088495-8861567;iasted_en#c-3040603-0556543;1.1227105227911591
conference_de#c-6508590-8109709;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.4008068439385711
conference_de#c-7521012-9493261;iasted_en#c-0201298-3231355;iasted_en#c-0201298-3231355;0.3192664143517665
