;target;prediction_target_1;metric_1
cmt_en#c-3027646-3365825;sigkdd_de#c-9282764-4133286;sigkdd_de#c-9282764-4133286;0.24229115155635558
cmt_en#c-4062369-5383392;sigkdd_de#c-5541011-4485740;sigkdd_de#c-5541011-4485740;0.2760555720317693
cmt_en#c-8693270-2767092;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.2718476496976615
cmt_en#c-2079829-2275666;sigkdd_de#c-7606899-8734332;sigkdd_de#c-7606899-8734332;0.6857145173161183
cmt_en#ent-1648737-1451089;sigkdd_de#ent-0138865-5902109;sigkdd_de#ent-0138865-5902109;0.823555937390823
cmt_en#c-6029021-0998116;sigkdd_de#c-6469555-3746715;owl#someValuesFrom;1.01088441737224
cmt_en#c-5375467-1655905;sigkdd_de#c-1052931-1641701;sigkdd_de#c-0094164-6634357;0.8538048711327964
cmt_en#c-6062733-3218604;sigkdd_de#c-3760592-8292146;sigkdd_de#c-3760592-8292146;0.3403007680694196
cmt_en#op-4706944-2787728;sigkdd_de#op-7778495-5250855;sigkdd_de#op-7778495-5250855;0.24582241060166626
cmt_en#c-9519178-7885109;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.17768499572770788
