;target;prediction_target_1;metric_1
cmt_en#op-2611597-4191733;confOf_de#op-1722644-5121501;confOf_de#op-1722644-5121501;0.536420576372856
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.44941731161225495
cmt_en#c-6062733-3218604;confOf_de#c-0977717-2950137;confOf_de#c-0977717-2950137;0.4406979775873363
cmt_en#ent-7592571-9671564;confOf_de#ent-5742004-8000728;confOf_de#ent-5742004-8000728;0.34582790527719637
cmt_en#c-3969637-3563037;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.8701989788742073
cmt_en#c-4413043-1523228;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.2642007006526248
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.3474460469020924
cmt_en#c-3027646-3365825;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.2423151658573463
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.3428087732290981
cmt_en#c-9519178-7885109;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.23278975597222115
cmt_en#c-5409377-9286012;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.2788902415007081
cmt_en#ent-1648737-1451089;confOf_de#ent-7472904-1496645;confOf_de#c-8403504-7828299;1.0286903799263565
