;target;prediction_target_1;metric_1
cmt_de#op-7761501-2770581;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.467961122248474
cmt_de#c-7511748-5827387;confOf_en#c-3734266-2898610;confOf_en#c-8729640-0951717;0.7177771971436213
cmt_de#c-7606498-1774261;confOf_en#c-8897779-7605019;confOf_en#c-8897779-7605019;0.47127956569227614
cmt_de#c-8082317-4346619;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.37123503993159285
cmt_de#c-7221579-7498183;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.8880546502554946
cmt_de#c-1253837-4887221;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.2646140440682271
cmt_de#op-9131907-0871491;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.5921969460802594
cmt_de#op-3382350-0510939;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.4093858751534978
cmt_de#c-7914897-1988765;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.2909123120667246
cmt_de#c-4872876-3932965;confOf_en#c-4940510-7116222;confOf_en#c-5904090-2937490;0.7851552054705013
cmt_de#op-3286624-6409948;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.4299680002549798
cmt_de#c-9804348-4921383;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.14251553645370033
cmt_de#c-0277212-8406046;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.23574862712692377
cmt_de#ent-4152612-5306614;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.9897467816430031
