;target;prediction_target_1;metric_1
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;cmt_en#ent-1648737-1451089;0.49568767056824775
cmt_de#op-4119782-8661590;cmt_en#op-3343741-2145006;cmt_en#op-1581958-6116705;0.7042431952691018
cmt_de#c-6476451-2581059;cmt_en#c-1611583-0668331;cmt_en#c-1611583-0668331;0.6735480729466281
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-4815057-3921498;0.44650103343699604
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.26158087598386887
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-4931010-8867602;0.8636096064577549
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.51336895180137
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.3469323847536114
cmt_de#c-7914897-1988765;cmt_en#c-3027646-3365825;cmt_en#c-3027646-3365825;0.492771122023751
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-4204612-8254155;0.5125557720008004
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.29939089177460293
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-3959626-1362323;0.7002213891460243
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-1997920-3046898;0.4728498366662181
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.31647923589159493
cmt_de#op-5585072-3196242;cmt_en#op-3741712-7753689;cmt_en#op-3741712-7753689;0.4487653591875011
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.36479693640466787
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-7822155-2346526;0.6062012959049494
cmt_de#op-2899154-8812515;cmt_en#op-1599762-7967134;cmt_en#op-1599762-7967134;0.26798279597259345
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.28959063040380567
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.3472463556777212
cmt_de#op-8860290-4901047;cmt_en#op-9779608-5108867;cmt_en#op-9779608-5108867;0.264934344253948
cmt_de#op-8743766-4367043;cmt_en#op-6688605-5254034;cmt_en#op-9305729-7081388;0.36472384434162675
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.3297910641451077
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.3371429298815456
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-5994448-5980560;0.7369827207670626
cmt_de#op-6806056-6808473;cmt_en#op-9145996-5514392;cmt_en#op-0491014-8723432;0.5875969924496987
cmt_de#op-1108172-2047481;cmt_en#op-6746253-0545056;cmt_en#op-6746253-0545056;0.7228845600417562
cmt_de#ent-7649389-3921230;cmt_en#ent-7669016-6331082;cmt_en#ent-7669016-6331082;0.2583528358880623
cmt_de#op-8350630-9441009;cmt_en#op-2798366-1946309;cmt_en#c-7224102-6220619;0.6365787517023749
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0102687-5392298;0.5441503270099737
cmt_de#op-3385838-2265419;cmt_en#op-0102687-5392298;cmt_en#op-0102687-5392298;0.47979175384649575
cmt_de#op-4385319-7522274;cmt_en#op-1288474-9125864;cmt_en#op-1288474-9125864;0.4074529269043185
cmt_de#ent-7086815-3431611;cmt_en#ent-7312475-4843858;cmt_en#ent-1689293-3812948;0.38433050222975385
cmt_de#c-7221579-7498183;cmt_en#c-3969637-3563037;end;0.5226302828285935
cmt_de#ent-5017088-6756639;cmt_en#ent-1689293-3812948;cmt_en#ent-1689293-3812948;0.4219717474406615
cmt_de#c-9309131-3067692;cmt_en#c-3945313-3684065;cmt_en#c-3945313-3684065;0.45150749789650196
cmt_de#c-5356419-0853732;cmt_en#c-2079829-2275666;cmt_en#c-2079829-2275666;0.5321814565523483
cmt_de#op-7851598-8792255;cmt_en#op-0563197-2956391;cmt_en#op-0563197-2956391;0.2841134928060408
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-1997920-3046898;0.5159533051287813
cmt_de#op-9724235-4357611;cmt_en#op-5999633-4351656;cmt_en#op-5999633-4351656;0.2781923574693485
cmt_de#c-7511748-5827387;cmt_en#c-2074692-1147118;cmt_en#c-2074692-1147118;0.4873030396340873
cmt_de#op-2707356-6407444;cmt_en#op-3715253-7341884;cmt_en#op-4815057-3921498;0.4968026191773228
cmt_de#c-5325416-2794476;cmt_en#c-6817901-7377121;cmt_en#c-6817901-7377121;0.23458070305611295
cmt_de#op-5563137-2349843;cmt_en#op-1581958-6116705;cmt_en#op-0261939-6958814;0.5570363469094745
cmt_de#c-8082317-4346619;cmt_en#c-8066557-3199962;cmt_en#c-8066557-3199962;0.22292252036225021
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-9305729-7081388;0.39762704163004575
cmt_de#op-2010665-6629499;cmt_en#op-7075044-5167613;cmt_en#op-9305729-7081388;0.43170373781467847
cmt_de#op-6688188-2661083;cmt_en#op-8994929-8698791;cmt_en#op-8994929-8698791;0.521191477789871
cmt_de#op-9262861-2168864;cmt_en#op-7848370-1577514;cmt_en#op-7848370-1577514;0.3908911802596309
