;target;prediction_target_1;metric_1
conference_de#c-1859458-4041433;conference_en#c-4658794-0941326;conference_en#c-4658794-0941326;0.5165254294630375
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-3874959-5523184;0.2744008455553449
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.29425890016996464
conference_de#c-1178842-2732173;conference_en#c-8170886-3522509;conference_en#c-0361407-5806327;0.4158102258690806
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;conference_en#c-5623276-9536395;0.36860423908400686
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.3227458957272844
conference_de#c-2773011-0249106;conference_en#c-9232089-8351274;conference_en#c-9232089-8351274;0.3212807791379078
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.20432478098324755
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.21492924999824461
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;conference_en#ent-2561708-2897004;0.3482519949845553
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.17935042837497547
conference_de#c-7158328-5483937;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.19832466182410033
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.18719170336474192
conference_de#c-1810344-8487780;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.22645226555211082
conference_de#op-6051861-5180291;conference_en#op-9590583-7660466;conference_en#op-9590583-7660466;0.3149929438107623
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-3874959-5523184;0.27186813212608724
conference_de#ent-3965541-6558239;conference_en#ent-8856556-5729357;conference_en#ent-9670647-6904825;0.346163431900914
conference_de#c-6041715-6986615;conference_en#c-1481587-3387008;conference_en#c-1481587-3387008;0.5524911000922419
conference_de#c-7521012-9493261;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.19787383590626006
conference_de#c-5636031-1076429;conference_en#c-9209266-2324134;conference_en#c-9209266-2324134;0.3289997102003688
conference_de#op-1316026-1460819;conference_en#op-5381874-6112043;conference_en#op-5381874-6112043;0.20987403994216366
