;target;prediction_target_1;metric_1
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-6191643-0859158;0.26786058316001893
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.23087403355013678
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.34007277707264566
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;conference_en#c-5450625-9274279;0.35591986815588905
conference_de#op-2359998-9048620;conference_en#op-9582772-9300745;conference_en#op-9779586-7289440;0.35529809970460136
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-2561708-2897004;0.3200169542726742
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-9417986-2023425;0.3115979878764799
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.18640846275495834
conference_de#op-4809969-8849082;conference_en#op-6756703-0827437;conference_en#op-6756703-0827437;0.13408959149366498
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-0316178-5626069;0.21548810400479865
conference_de#ent-3147113-3527757;conference_en#ent-6191643-0859158;conference_en#ent-6191643-0859158;0.34043694574430006
conference_de#c-2852856-4092117;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.33234215605826983
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-6191643-0859158;0.4340409922515783
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.3916945096963483
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.2685976653549341
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-1900730-6434780;0.33724896090783274
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-6031866-4091605;0.23218373173394216
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-9170184-4807203;0.3866798774215954
conference_de#op-6312998-0325865;conference_en#op-3785683-5574395;conference_en#op-3785683-5574395;0.3109806015513918
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#c-4374045-8704772;0.39483177109128753
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-9609595-3810460;0.4318483918516983
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;conference_en#c-9959587-2502467;0.26976432933376965
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.16951537684791979
conference_de#op-1989814-5525228;conference_en#op-6070720-0445977;conference_en#op-6070720-0445977;0.31231903210366685
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.23715735327313137
conference_de#op-6068254-8048160;conference_en#op-4656648-2702541;conference_en#op-4656648-2702541;0.3489472605784431
conference_de#c-0268486-3322572;conference_en#c-6270579-7841141;conference_en#c-6270579-7841141;0.4556026051171659
conference_de#op-1806324-3972847;conference_en#op-5728539-7928456;conference_en#op-0316178-5626069;0.24439747653818433
conference_de#c-2326730-6671120;conference_en#c-3445672-4630908;conference_en#c-3445672-4630908;0.4048559236371997
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-2881096-9762712;0.3921257723358999
conference_de#op-6051861-5180291;conference_en#op-9590583-7660466;conference_en#op-9590583-7660466;0.31698312673774215
conference_de#c-5562180-9263139;conference_en#c-0777086-7016755;conference_en#c-0777086-7016755;0.22997927449359432
conference_de#ent-0456757-4338876;conference_en#ent-2881096-9762712;conference_en#ent-6624455-0139130;0.3603423484475591
conference_de#op-9868857-5526574;conference_en#op-6555195-4641585;conference_en#op-6555195-4641585;0.43262615077268174
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-3874959-5523184;0.33664216635316746
conference_de#ent-6952853-8144557;conference_en#ent-8321268-9659544;conference_en#ent-2561708-2897004;0.3119931611661788
conference_de#c-5236249-1093814;conference_en#c-8376732-6542959;conference_en#c-9209266-2324134;0.466732933948959
conference_de#op-9692725-1776210;conference_en#op-6982521-4448617;conference_en#op-6982521-4448617;0.22930739350235185
conference_de#ent-6918273-8967644;conference_en#ent-5876431-4161956;conference_en#ent-2561708-2897004;0.30558850751956834
conference_de#c-1025534-8292294;conference_en#c-9466907-2262688;conference_en#c-9466907-2262688;0.14435225157649173
conference_de#c-5035120-4059294;conference_en#c-9734127-6604595;conference_en#c-9472960-6540943;0.37699565959597153
conference_de#c-2731220-6600456;conference_en#c-0845815-7069476;conference_en#c-0845815-7069476;0.16714745359488012
conference_de#op-9352775-5356677;conference_en#op-2884928-1098675;conference_en#op-2884928-1098675;0.2693349422523362
conference_de#c-6804730-6814876;conference_en#c-6031866-4091605;reviews;0.26922124594430275
conference_de#ent-4148970-9878776;conference_en#ent-3627793-6883861;conference_en#ent-4155068-8609429;0.4628070225236406
conference_de#c-5636031-1076429;conference_en#c-9209266-2324134;conference_en#c-9209266-2324134;0.4342573705647472
conference_de#op-5642484-4870984;conference_en#op-8498965-3154119;conference_en#op-8498965-3154119;0.30444819932621964
conference_de#op-2178632-6743715;conference_en#op-1004860-6532610;conference_en#op-1004860-6532610;0.2937622112050525
conference_de#c-2734491-0275940;conference_en#c-7255821-5359025;conference_en#c-7255821-5359025;0.3522746452370374
conference_de#op-1316026-1460819;conference_en#op-5381874-6112043;conference_en#op-5381874-6112043;0.22735449314179676
