;target;prediction_target_1;metric_1
confOf_de#op-5847282-2267282;confOf_en#op-4178089-9091832;confOf_en#op-4178089-9091832;0.3152436471303424
confOf_de#c-3716617-5099119;confOf_en#c-6109887-5999898;confOf_en#c-6109887-5999898;0.2687471562736855
confOf_de#ent-1987350-8650340;confOf_en#ent-8881801-2437397;confOf_en#ent-8881801-2437397;0.5141121535518566
confOf_de#op-4302120-7233512;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.36141505728223067
confOf_de#c-4439571-8274936;confOf_en#c-4940510-7116222;confOf_en#c-4940510-7116222;0.36028299203293584
confOf_de#c-0553488-4726167;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.25903195754984293
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.28282133165832996
confOf_de#c-2463275-9197848;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.45260730592415005
confOf_de#ent-2160031-2946829;confOf_en#ent-3180463-1145375;confOf_en#ent-3180463-1145375;0.312856019893264
confOf_de#ent-1324673-6996465;confOf_en#ent-2971893-5806604;confOf_en#ent-2971893-5806604;0.5512044860547268
confOf_de#op-1722644-5121501;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.26357151683934915
confOf_de#op-5694068-8845542;confOf_en#op-7502401-8040051;confOf_en#op-7502401-8040051;0.34232966876802506
confOf_de#c-7620981-0130792;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.41586299080643163
confOf_de#c-1803256-3977939;confOf_en#c-5948332-3267518;confOf_en#c-5948332-3267518;0.4235366649101086
confOf_de#ent-9875824-2357826;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.3150614452669677
confOf_de#ent-4553206-2103816;confOf_en#ent-5063643-6711325;remark;0.9771477805063923
confOf_de#c-5598437-4596711;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.41250699683076014
confOf_de#c-0211430-8010097;confOf_en#c-9051277-7292388;confOf_en#c-9051277-7292388;0.3040294169488726
confOf_de#op-1761269-0805727;confOf_en#op-4917934-2826750;confOf_en#op-4917934-2826750;0.2830711083735212
confOf_de#ent-0303881-5975791;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.27310703847853224
confOf_de#c-8182861-6425712;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.2065522280981042
confOf_de#op-7917558-9062341;confOf_en#op-3802438-8167706;confOf_en#op-3802438-8167706;0.21659134194694676
confOf_de#c-1165971-3665910;confOf_en#c-5851222-7607068;confOf_en#c-5851222-7607068;0.5280345608924487
confOf_de#c-8168019-5837036;confOf_en#c-6603806-5996118;confOf_en#c-6603806-5996118;0.41710402514766803
confOf_de#c-8403504-7828299;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.19023720859826107
confOf_de#c-2683474-6183904;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.2924368867192504
