;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.43915361829726746
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.4822839326870674
confOf_de#c-8118103-3976495;confOf_en#c-0499297-8084322;confOf_en#c-6062393-2520649;0.3946673674469698
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-5904090-2937490;0.541127949409601
confOf_de#op-5548380-9195122;confOf_en#op-7718872-4722905;confOf_en#op-7718872-4722905;0.6451736756747739
confOf_de#c-4861385-1103485;confOf_en#c-3826751-4914269;confOf_en#c-5904090-2937490;0.464537902816707
confOf_de#ent-5642216-9536112;confOf_en#ent-8617792-4471683;confOf_en#ent-8617792-4471683;0.5649069957823232
confOf_de#ent-9378447-8956054;confOf_en#ent-1700978-0800293;confOf_en#ent-1700978-0800293;0.4023021857721128
confOf_de#c-3716617-5099119;confOf_en#c-6109887-5999898;confOf_en#c-6109887-5999898;0.3830885750053914
confOf_de#c-0977717-2950137;confOf_en#c-8897779-7605019;confOf_en#c-5904090-2937490;0.4398126673731247
confOf_de#ent-1987350-8650340;confOf_en#ent-8881801-2437397;confOf_en#ent-6734221-5873053;0.5705767190940845
confOf_de#c-9260969-5532672;confOf_en#c-4918829-3001709;confOf_en#c-4918829-3001709;0.44340941655405836
confOf_de#ent-7472904-1496645;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.32872179995422257
confOf_de#op-4302120-7233512;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.3650803012552736
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.4448197839808869
confOf_de#c-0126412-6208972;confOf_en#c-9402184-3168847;confOf_en#c-9402184-3168847;0.48273515518948773
confOf_de#c-4702748-1915950;confOf_en#c-3868234-1876752;confOf_en#c-3868234-1876752;0.41921873906950924
confOf_de#c-4439571-8274936;confOf_en#c-4940510-7116222;confOf_en#c-4940510-7116222;0.4299948651405112
confOf_de#ent-3116369-8783570;confOf_en#ent-4532610-9643499;confOf_en#ent-4532610-9643499;0.4513681087372279
confOf_de#ent-6095931-1291276;confOf_en#ent-6379747-8396882;confOf_en#ent-6379747-8396882;0.4285413231683527
confOf_de#c-0553488-4726167;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.5052288963836052
confOf_de#ent-5550018-6700451;confOf_en#ent-3724946-8160347;confOf_en#ent-3724946-8160347;0.46080718674545346
confOf_de#c-0505747-2615706;confOf_en#c-0319363-2610594;confOf_en#c-6834280-4912416;0.6223497592483876
confOf_de#c-2022407-5202362;confOf_en#c-1546212-3884536;confOf_en#c-1546212-3884536;0.4653584297933338
confOf_de#ent-9176086-3549112;confOf_en#ent-0251198-5994761;written;0.9139684065891908
confOf_de#ent-4883389-8000129;confOf_en#ent-2941342-5653153;confOf_en#ent-2941342-5653153;0.4936180483763286
confOf_de#ent-3531218-9750426;confOf_en#ent-9012565-8739542;confOf_en#ent-9012565-8739542;0.42665654909574263
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.5552693640651134
confOf_de#c-9531197-4911923;confOf_en#c-6062393-2520649;confOf_en#c-6062393-2520649;0.3888640567191125
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.6200312660433399
confOf_de#c-3286368-6722233;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.3778625814376297
confOf_de#ent-6312613-2029317;confOf_en#ent-5934500-8154939;confOf_en#ent-5934500-8154939;0.5497047263770984
confOf_de#ent-2160031-2946829;confOf_en#ent-3180463-1145375;confOf_en#ent-3180463-1145375;0.4775153581915357
confOf_de#ent-1324673-6996465;confOf_en#ent-2971893-5806604;confOf_en#ent-2971893-5806604;0.5440088184063495
confOf_de#op-5694068-8845542;confOf_en#op-7502401-8040051;confOf_en#op-7502401-8040051;0.5488810962769518
confOf_de#c-7620981-0130792;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.531966547985188
confOf_de#c-1803256-3977939;confOf_en#c-5948332-3267518;confOf_en#c-5948332-3267518;0.5290993711270602
