;target;prediction_target_1;metric_1
cmt_de#op-7761501-2770581;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.3240772869662299
cmt_de#c-7511748-5827387;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.7136987275024458
cmt_de#c-8082317-4346619;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.4018215101443782
cmt_de#c-2600954-3812137;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.3795989440614821
cmt_de#ent-7525433-8535515;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.2527716571403131
cmt_de#c-7221579-7498183;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.8784835844904139
cmt_de#c-1253837-4887221;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.23045347460023274
cmt_de#op-9131907-0871491;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.409815820949815
cmt_de#c-7914897-1988765;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.30892063377224305
cmt_de#c-4872876-3932965;confOf_en#c-4940510-7116222;confOf_en#c-5904090-2937490;0.7622237475941886
cmt_de#c-9804348-4921383;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.17351874904162456
cmt_de#c-0277212-8406046;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.16282729437431162
cmt_de#ent-4152612-5306614;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.9561008815515765
