;target;prediction_target_1;metric_1
conference_de#c-4650867-2477948;conference_en#c-8550632-1205594;conference_en#c-8550632-1205594;0.2015668539096014
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.3045714064515926
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-6191643-0859158;0.3360074571821218
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.34643747902896527
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-3595853-4712760;0.4541176661050228
conference_de#c-1479504-0321675;conference_en#c-0949358-2763718;conference_en#c-0949358-2763718;0.48650798959573754
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-2456802-7820267;0.3043459072556971
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-6191643-0859158;0.3123404480360426
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.22452240681660357
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-0316178-5626069;0.6468691004637973
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.2802288615111399
conference_de#ent-3147113-3527757;conference_en#ent-6191643-0859158;track;0.33815500393283243
conference_de#c-2852856-4092117;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.38840235448506905
conference_de#op-7940821-6078131;conference_en#op-4084032-4002742;conference_en#op-4084032-4002742;0.43093998045128756
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.32456568541665953
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-6191643-0859158;0.4705278837685031
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;conference_en#ent-2881096-9762712;0.4569512337535887
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.20121814163926857
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.3612373724964976
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.2960741452988125
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.31134478682229233
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.29388131561542785
conference_de#c-2773011-0249106;conference_en#c-9232089-8351274;conference_en#c-9232089-8351274;0.3626724939094939
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-1900730-6434780;0.38995319225823255
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.27575077822476984
conference_de#op-6312998-0325865;conference_en#op-3785683-5574395;conference_en#op-3785683-5574395;0.4506379920083072
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-6979143-6235556;0.40269966082556796
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;conference_en#ent-3627793-6883861;0.4196421835769314
conference_de#op-2922778-5582937;conference_en#op-4028676-2638300;conference_en#op-4028676-2638300;0.28368472053241384
conference_de#c-3096259-3019685;conference_en#c-8786752-3541167;conference_en#c-8786752-3541167;0.4704267362934242
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;conference_en#ent-6191643-0859158;0.32197524677902944
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#op-6979143-6235556;0.5833505349355033
conference_de#c-4730732-9118818;conference_en#c-3267972-8884201;conference_en#c-6031866-4091605;0.4472251047737158
conference_de#c-1521137-1761392;conference_en#c-5005169-5278256;conference_en#c-5005169-5278256;0.3520572257344382
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-8856556-5729357;0.318814949303864
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.38598482321968647
conference_de#op-1069821-7365209;conference_en#op-2456802-7820267;conference_en#op-2456802-7820267;0.2888645534397222
conference_de#op-3310517-8704360;conference_en#op-1260211-6263803;conference_en#op-9508659-7431073;0.3134272547193829
conference_de#c-7158328-5483937;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.24158826601542063
conference_de#c-8071281-1290388;conference_en#c-3647168-6413616;conference_en#c-3647168-6413616;0.23975431805493658
conference_de#op-3660173-8702227;conference_en#op-5224922-0021686;conference_en#op-5224922-0021686;0.21373054060802202
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.31494601075484535
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.31166407883419484
conference_de#c-0268486-3322572;conference_en#c-6270579-7841141;conference_en#c-6270579-7841141;0.38557313774006957
conference_de#c-0436446-0249443;conference_en#c-5790368-3331445;conference_en#c-5790368-3331445;0.25678499679355626
conference_de#c-9625814-4995879;conference_en#c-7081035-6117083;conference_en#c-7081035-6117083;0.30695524098228816
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-8170886-3522509;0.48688544588831345
conference_de#op-6793370-1481860;conference_en#op-0671654-2571930;conference_en#op-0671654-2571930;0.4190418275517064
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-6191643-0859158;0.406658405481657
