;target;prediction_target_1;metric_1
conference_en#c-0513615-7095489;sigkdd_de#c-6985541-3131901;sigkdd_de#c-6985541-3131901;0.5319498557316714
conference_en#c-0153241-8442178;sigkdd_de#c-0695531-5412063;sigkdd_de#c-0695531-5412063;0.3248264251969064
conference_en#op-5728539-7928456;sigkdd_de#op-2955099-2207630;sigkdd_de#op-2955099-2207630;0.4473119107099269
conference_en#c-0975007-5643450;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.440947530912218
conference_en#c-2974852-3474918;sigkdd_de#c-6469555-3746715;sigkdd_de#c-1670757-7005751;0.9234947584783093
conference_en#c-7121259-3662514;sigkdd_de#c-1052931-1641701;owl#DatatypeProperty;0.8395952354980064
conference_en#c-4444483-2447834;sigkdd_de#c-9282764-4133286;sigkdd_de#c-9282764-4133286;0.4369084124176451
conference_en#ent-4516568-5595755;sigkdd_de#ent-0138865-5902109;sigkdd_de#ent-1700090-3901005;0.8414625291366044
conference_en#c-3746645-9598977;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.22939735714882134
conference_en#c-9312690-4124149;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.44065727745714744
conference_en#c-6525918-2089133;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.3878883955627218
conference_en#c-7081035-6117083;sigkdd_de#c-0094164-6634357;sigkdd_de#c-0094164-6634357;0.7255731937470996
conference_en#op-0316178-5626069;sigkdd_de#op-0836929-5233701;sigkdd_de#op-0836929-5233701;0.3965121619328522
