;target;prediction_target_1;metric_1
conference_en#c-0513615-7095489;sigkdd_de#c-6985541-3131901;sigkdd_de#c-6985541-3131901;0.4078894885298232
conference_en#op-5728539-7928456;sigkdd_de#op-2955099-2207630;sigkdd_de#op-2955099-2207630;0.3120905601352057
conference_en#c-0975007-5643450;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.30891260534717463
conference_en#c-2974852-3474918;sigkdd_de#c-6469555-3746715;sigkdd_de#c-5850113-5122819;0.6845363895220828
conference_en#c-7121259-3662514;sigkdd_de#c-1052931-1641701;sigkdd_de#c-1052931-1641701;0.8394494284417642
conference_en#c-9453090-9458986;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.6397698431669745
conference_en#ent-4516568-5595755;sigkdd_de#ent-0138865-5902109;sigkdd_de#c-9302905-7296086;0.7082472408286108
conference_en#c-3746645-9598977;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.17778200034912753
conference_en#c-9312690-4124149;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.3986355279634001
conference_en#op-0316178-5626069;sigkdd_de#op-0836929-5233701;sigkdd_de#op-0836929-5233701;0.23419989346232511
