;target;prediction_target_1;metric_1
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.8274727747601428
cmt_de#c-3554876-1135672;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.4280428287187493
cmt_de#c-5403940-4193578;conference_en#c-8170886-3522509;conference_en#c-0361407-5806327;0.472973770577493
cmt_de#c-6476451-2581059;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.37325176861396303
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.4975935517479506
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.4147851206475286
cmt_de#c-7914897-1988765;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.3002250723514299
cmt_de#c-7914897-1988765;conference_en#c-0918067-8070827;conference_en#c-4444483-2447834;0.3002250723514299
cmt_de#c-8450582-0542304;conference_en#c-0513615-7095489;conference_en#c-1432286-4789153;0.35193337171606687
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.35193337171606687
cmt_de#c-9804348-4921383;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.4063248804832928
cmt_de#ent-4152612-5306614;conference_en#ent-4516568-5595755;conference_en#c-2446635-7449628;0.6708602776464695
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.6605676933823542
cmt_de#op-8350630-9441009;conference_en#op-3595853-4712760;conference_en#op-3595853-4712760;0.6052944911337013
