;target;prediction_target_1;metric_1
cmt_de#c-2036030-6478102;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.6396768469339947
cmt_de#c-3386094-8929437;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.36944769697920526
cmt_de#c-3554876-1135672;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.5503556430732387
cmt_de#c-5403940-4193578;conference_en#c-8170886-3522509;conference_en#c-0361407-5806327;0.5328238071368667
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.49236467962307007
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.3836662184931795
cmt_de#c-7914897-1988765;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.47686200155444347
cmt_de#c-7914897-1988765;conference_en#c-0918067-8070827;conference_en#c-4444483-2447834;0.47686200155444347
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.1894471308504039
cmt_de#c-9804348-4921383;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.3076828805385932
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-3595853-4712760;0.7694726778175769
