;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-9362556-8487981;0.4965741641284062
iasted_de#op-6084854-8177491;iasted_en#op-2551551-7258727;iasted_en#op-2551551-7258727;0.2784081140167019
iasted_de#c-8179403-0452179;iasted_en#c-5074238-7594931;iasted_en#c-5074238-7594931;0.8170360215717946
iasted_de#c-1251407-2550325;iasted_en#c-5688901-6766233;iasted_en#c-5688901-6766233;0.40989426718109095
iasted_de#c-2460382-4400595;iasted_en#c-5810296-5194443;iasted_en#c-5810296-5194443;0.4926114979386535
iasted_de#c-9446232-8225502;iasted_en#c-0235524-1676194;iasted_en#c-0235524-1676194;0.5117888066444198
iasted_de#c-2293461-8102109;iasted_en#c-7668907-4202016;iasted_en#c-7668907-4202016;0.6017330524973165
iasted_de#op-7053159-9119879;iasted_en#op-5551010-0533591;iasted_en#op-5551010-0533591;0.462158242401172
iasted_de#c-8622413-8169447;iasted_en#c-6477155-7340247;iasted_en#c-6477155-7340247;0.4589003970581785
iasted_de#c-6860527-3090201;iasted_en#c-6845272-4951822;iasted_en#c-6845272-4951822;0.7027646488380023
iasted_de#op-9745870-2817977;iasted_en#op-1657852-5105987;iasted_en#op-1657852-5105987;0.3071863975540344
iasted_de#c-2372932-6696619;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.3200260854305404
iasted_de#ent-8278334-1384889;iasted_en#ent-0709927-2922893;iasted_en#ent-0709927-2922893;0.45563862732140414
iasted_de#op-2187218-0667961;iasted_en#op-9347375-6118171;iasted_en#op-9347375-6118171;0.6658260050397395
iasted_de#c-4122268-3045249;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.39390297140247604
iasted_de#c-2379893-4624688;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.316199254546652
iasted_de#op-6751872-1328733;iasted_en#op-5062506-9744171;iasted_en#op-5062506-9744171;0.4762562023394682
