;target;prediction_target_1;metric_1
sigkdd_de#c-2689271-9857625;sigkdd_en#c-4095132-8928036;sigkdd_en#c-4095132-8928036;0.09943844535932718
sigkdd_de#c-0695531-5412063;sigkdd_en#c-4512427-8358882;sigkdd_en#c-4512427-8358882;0.15189560182584919
sigkdd_de#ent-7525202-3357334;sigkdd_en#ent-1255069-8857146;sigkdd_en#ent-6945476-8980997;0.5536673398723919
sigkdd_de#op-1005860-9935354;sigkdd_en#op-0358048-9340662;sigkdd_en#op-0358048-9340662;0.15217595387636645
sigkdd_de#op-1549992-0103030;sigkdd_en#op-1986890-7846167;sigkdd_en#op-1986890-7846167;0.1283929803224059
sigkdd_de#ent-1646067-6583158;sigkdd_en#ent-0035096-2402503;sigkdd_en#ent-5258086-9094070;0.3867714259331738
sigkdd_de#op-7778495-5250855;sigkdd_en#op-4588680-8309474;sigkdd_en#op-4588680-8309474;0.16053342593040473
sigkdd_de#op-9258168-1550244;sigkdd_en#op-4016118-2436545;sigkdd_en#op-4016118-2436545;0.13142870742976837
sigkdd_de#c-4426271-6299311;sigkdd_en#c-7909190-7180764;sigkdd_en#c-7909190-7180764;0.22509136213204062
sigkdd_de#ent-0228699-0914491;sigkdd_en#ent-2375537-3899257;sigkdd_en#ent-0035096-2402503;0.3760518148630241
sigkdd_de#ent-3304226-6226138;sigkdd_en#ent-5258086-9094070;committee;0.44321005550510667
sigkdd_de#c-7606899-8734332;sigkdd_en#c-5268789-8381535;sigkdd_en#c-5268789-8381535;0.24799560332049683
sigkdd_de#c-0094164-6634357;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.34280085454003917
sigkdd_de#c-4126640-5313604;sigkdd_en#c-3869300-1065009;sigkdd_en#c-3063358-7931866;0.21860830465071035
sigkdd_de#op-9850717-2340674;sigkdd_en#op-4524643-0591579;sigkdd_en#op-4524643-0591579;0.10407624946297717
sigkdd_de#c-1670757-7005751;sigkdd_en#c-1144746-3205183;sigkdd_en#c-1144746-3205183;0.09745389535998143
sigkdd_de#c-9920303-9624193;sigkdd_en#c-1615562-8494578;sigkdd_en#c-1615562-8494578;0.2907584393749672
sigkdd_de#c-6541109-1088286;sigkdd_en#c-7092519-9239674;sigkdd_en#c-7092519-9239674;0.4347235446973428
sigkdd_de#c-9038315-6127488;sigkdd_en#c-1214605-4064522;sigkdd_en#c-1214605-4064522;0.2734577373962292
