;target;prediction_target_1;metric_1
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.4507107929607063
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.3174592197809599
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.33897315549480384
conference_de#c-1479504-0321675;conference_en#c-0949358-2763718;conference_en#c-0949358-2763718;0.33617582116866673
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;conference_en#c-5450625-9274279;0.4730429965299306
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-2456802-7820267;0.24118021757008914
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-6624455-0139130;0.39725477866593134
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.2744370054432193
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.2489071148403845
conference_de#op-2585333-8630311;conference_en#op-9761886-1014523;conference_en#op-9761886-1014523;0.2774940447009137
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.2922817018804871
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.40676125611659486
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;to;0.4447063572742762
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.3468847810631515
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.44047131815266294
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.38392456551711646
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;conference_en#c-5450625-9274279;0.45472631773383987
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.2968337821041182
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.22847168018648628
conference_de#op-7531097-2137005;conference_en#op-8255260-5370742;conference_en#op-8255260-5370742;0.4995904528689802
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-2884928-1098675;0.400961922964915
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.27659266744802236
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-9959587-2502467;0.3238982372656656
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-6270579-7841141;0.42606950291551976
conference_de#op-6312998-0325865;conference_en#op-3785683-5574395;conference_en#op-3785683-5574395;0.31959080795732325
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-9417986-2023425;0.3729553856034882
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;conference_en#ent-5876431-4161956;0.3066139216580727
conference_de#op-2922778-5582937;conference_en#op-4028676-2638300;conference_en#op-4028676-2638300;0.3857517474177944
conference_de#c-3096259-3019685;conference_en#c-8786752-3541167;conference_en#c-3445672-4630908;0.5854011625444056
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;publisher;0.2786971519198448
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.33754791221053393
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.28848794894105084
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-9609595-3810460;0.3724395817572061
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-8856556-5729357;0.35180239863867435
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;owl#AnnotationProperty;0.2802610280998942
conference_de#op-1069821-7365209;conference_en#op-2456802-7820267;conference_en#op-2456802-7820267;0.30638687400340947
conference_de#c-8573778-5851296;conference_en#c-7443688-6884776;registered;0.2854128464682376
conference_de#c-7158328-5483937;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.44523902508841784
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.326936704572913
conference_de#ent-7582393-1837786;conference_en#ent-2738942-8176769;conference_en#ent-2738942-8176769;0.5517746196146698
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.19305767444679825
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.2385739028424429
conference_de#c-0268486-3322572;conference_en#c-6270579-7841141;conference_en#c-6270579-7841141;0.35070390873182883
conference_de#op-1806324-3972847;conference_en#op-5728539-7928456;conference_en#op-0316178-5626069;0.5046100398924828
conference_de#c-0436446-0249443;conference_en#c-5790368-3331445;conference_en#c-5790368-3331445;0.23201753180338172
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-0361407-5806327;0.7378150001223452
conference_de#c-2326730-6671120;conference_en#c-3445672-4630908;conference_en#c-3445672-4630908;0.5574680946797581
conference_de#c-6600254-2450629;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.34454434419087354
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-9670647-6904825;0.3710558419405904
conference_de#op-6051861-5180291;conference_en#op-9590583-7660466;conference_en#op-9590583-7660466;0.25967504542624265
conference_de#ent-0456757-4338876;conference_en#ent-2881096-9762712;conference_en#ent-2881096-9762712;0.36673168958508207
conference_de#op-9868857-5526574;conference_en#op-6555195-4641585;conference_en#op-6555195-4641585;0.5984271126029947
conference_de#c-7096317-3412127;conference_en#c-9453090-9458986;regular;0.2029067427230997
conference_de#c-4481836-1173835;conference_en#c-1233739-4358960;conference_en#c-1233739-4358960;0.5034062578554308
conference_de#op-4229248-7694544;conference_en#op-2225814-4312264;conference_en#op-2225814-4312264;0.32335611267746556
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-3874959-5523184;0.2749895067714095
conference_de#op-4324524-0658713;conference_en#op-4287727-6636701;conference_en#op-4287727-6636701;0.3955048192711883
conference_de#ent-6952853-8144557;conference_en#ent-8321268-9659544;conference_en#ent-4155068-8609429;0.384016724479869
conference_de#c-5236249-1093814;conference_en#c-8376732-6542959;conference_en#c-9209266-2324134;0.38885714621427214
conference_de#op-8738966-6560487;conference_en#op-4945044-7699013;conference_en#op-6979143-6235556;0.4032960544596311
conference_de#ent-3965541-6558239;conference_en#ent-8856556-5729357;conference_en#ent-5876431-4161956;0.3560212004010518
conference_de#c-7521012-9493261;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.2421244687536384
conference_de#c-4756237-0913680;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.43640799257111074
conference_de#op-9352775-5356677;conference_en#op-2884928-1098675;conference_en#op-2884928-1098675;0.2771584598476517
conference_de#c-0369442-7501730;conference_en#c-3746645-9598977;conference_en#c-3746645-9598977;0.3014341841129675
conference_de#c-6804730-6814876;conference_en#c-6031866-4091605;conference_en#c-9959587-2502467;0.28303348625577734
conference_de#ent-4148970-9878776;conference_en#ent-3627793-6883861;conference_en#ent-3627793-6883861;0.3073270247723257
conference_de#c-5636031-1076429;conference_en#c-9209266-2324134;conference_en#c-9209266-2324134;0.39482307672793565
conference_de#op-2178632-6743715;conference_en#op-1004860-6532610;conference_en#op-1004860-6532610;0.264912406894867
conference_de#op-5214051-3470114;conference_en#op-1628229-1605527;conference_en#op-6555195-4641585;0.6529391162094331
conference_de#op-5497197-2593751;conference_en#op-9065704-7114218;conference_en#op-9065704-7114218;0.37493231473156696
