;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.5451709625844662
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.38672542805299337
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-0261939-6958814;0.6225727988558993
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;to;0.7113915250194822
cmt_de#op-4119782-8661590;cmt_en#op-3343741-2145006;cmt_en#op-3343741-2145006;0.600961635010419
cmt_de#c-6476451-2581059;cmt_en#c-1611583-0668331;cmt_en#c-1611583-0668331;0.6640328996337457
cmt_de#op-0136947-6585575;cmt_en#op-6283707-9260731;cmt_en#op-6283707-9260731;0.46300214448183796
cmt_de#op-6999775-8658617;cmt_en#op-2649033-9712859;cmt_en#op-2649033-9712859;0.31463417260979465
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-0261939-6958814;0.9253244996182795
cmt_de#op-4267478-9907556;cmt_en#op-5548425-1932115;cmt_en#op-5548425-1932115;0.5078674844158589
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.4988425052855984
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.3824377355628499
cmt_de#c-7914897-1988765;cmt_en#c-3027646-3365825;cmt_en#c-3027646-3365825;0.5217644651435795
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-6143522-2877268;0.5945463543118058
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-2074692-1147118;0.6252682364533407
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.4297149119054436
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-1997920-3046898;0.48616275444984447
cmt_de#op-5585072-3196242;cmt_en#op-3741712-7753689;cmt_en#op-3741712-7753689;0.47951753730933805
cmt_de#op-7066350-8155982;cmt_en#op-7758730-0930874;cmt_en#op-7758730-0930874;0.42568057492461203
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.44043084226499857
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-2352672-2684910;0.5409814531969785
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.3901904160390933
cmt_de#op-8860290-4901047;cmt_en#op-9779608-5108867;cmt_en#op-9779608-5108867;0.3393445941323303
cmt_de#op-8743766-4367043;cmt_en#op-6688605-5254034;cmt_en#op-6688605-5254034;0.504791028327872
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.49031786574872527
