;target;prediction_target_1;metric_1
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.22044545509814392
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-8856556-5729357;0.3101888256543622
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.30820153968249847
conference_de#c-1859458-4041433;conference_en#c-4658794-0941326;conference_en#c-4658794-0941326;0.6110645683038715
conference_de#c-1479504-0321675;conference_en#c-0949358-2763718;conference_en#c-0949358-2763718;0.3607624882131374
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-2456802-7820267;0.27584099416737323
conference_de#op-2359998-9048620;conference_en#op-9582772-9300745;conference_en#op-9582772-9300745;0.2897968671569888
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-6979143-6235556;0.3006502710891546
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.2883444970323393
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-0316178-5626069;0.3023568224647395
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.45859025892696337
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;conference_en#ent-6191643-0859158;0.5474908320973284
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.39056732287550044
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.31791504691857514
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.3126816519673656
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;conference_en#c-5623276-9536395;0.27291790472055183
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-5224922-0021686;0.2520572656147286
conference_de#op-7531097-2137005;conference_en#op-8255260-5370742;conference_en#op-8255260-5370742;0.24282623505556075
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.230158244257891
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.2873335524179415
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;conference_en#ent-8856556-5729357;0.30600218217347613
conference_de#op-2922778-5582937;conference_en#op-4028676-2638300;conference_en#op-4028676-2638300;0.26270125710470293
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.23840902376639522
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#ent-0091160-7920486;0.47297558558278274
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.25757287097728393
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-5398835-6557322;0.3722266192155539
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.3892444285250244
conference_de#op-1069821-7365209;conference_en#op-2456802-7820267;conference_en#op-2456802-7820267;0.3015123229064654
conference_de#op-3310517-8704360;conference_en#op-1260211-6263803;conference_en#op-1260211-6263803;0.277090799066717
conference_de#c-2883309-0508630;conference_en#c-3417170-2349351;conference_en#c-3417170-2349351;0.30996107106550624
conference_de#c-8573778-5851296;conference_en#c-7443688-6884776;conference_en#c-8566080-5422297;0.3209821784363239
conference_de#op-9251692-2958376;conference_en#op-4319238-3673329;conference_en#op-4179398-9105427;0.39172373432282864
conference_de#c-3040625-6424461;conference_en#c-0153241-8442178;conference_en#c-0153241-8442178;0.5027168749299635
conference_de#ent-7582393-1837786;conference_en#ent-2738942-8176769;conference_en#ent-2738942-8176769;0.6183531235974735
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.20811593073789225
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-8170886-3522509;0.7071417467863875
conference_de#op-6793370-1481860;conference_en#op-0671654-2571930;conference_en#op-0671654-2571930;0.2669930211897942
conference_de#c-5562180-9263139;conference_en#c-0777086-7016755;conference_en#c-0777086-7016755;0.18492363934625894
conference_de#c-7096317-3412127;conference_en#c-9453090-9458986;url;0.30782704610396866
conference_de#c-4481836-1173835;conference_en#c-1233739-4358960;conference_en#c-1233739-4358960;0.28394044951319897
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-3874959-5523184;0.3403239622962244
conference_de#op-0128946-6794641;conference_en#op-3486839-5603683;conference_en#op-3486839-5603683;0.3676587565359206
conference_de#ent-3965541-6558239;conference_en#ent-8856556-5729357;conference_en#ent-8856556-5729357;0.2887648238989136
conference_de#c-7521012-9493261;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.2264047686924584
conference_de#c-4756237-0913680;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.39858272876927137
conference_de#op-9352775-5356677;conference_en#op-2884928-1098675;conference_en#op-2884928-1098675;0.3531032939828806
conference_de#c-0369442-7501730;conference_en#c-3746645-9598977;conference_en#c-3746645-9598977;0.35074438952991815
conference_de#op-4737759-4638811;conference_en#op-6979143-6235556;conference_en#op-6979143-6235556;0.3605555961049424
conference_de#op-5642484-4870984;conference_en#op-8498965-3154119;conference_en#op-8498965-3154119;0.45154972932121207
conference_de#c-9664517-5940464;conference_en#c-0762292-1185067;conference_en#c-3445672-4630908;0.6707789836941971
conference_de#op-5497197-2593751;conference_en#op-9065704-7114218;conference_en#op-9065704-7114218;0.2328589063387608
