;target;prediction_target_1;metric_1
cmt_en#c-3027646-3365825;conference_de#c-5694210-3113803;conference_de#c-5694210-3113803;0.43005114204634
cmt_en#c-1611583-0668331;conference_de#c-6828546-9901709;conference_de#c-6828546-9901709;0.4125730316691576
cmt_en#c-2074692-1147118;conference_de#c-2852856-4092117;conference_de#c-2852856-4092117;0.30621887146754034
cmt_en#ent-1648737-1451089;conference_de#ent-5299945-7988874;conference_de#c-4756237-0913680;0.8516941105023549
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-9185334-5782431;0.664919767027952
cmt_en#c-0430420-0075813;conference_de#c-6600254-2450629;conference_de#c-6600254-2450629;0.5146869155514957
cmt_en#c-8693270-2767092;conference_de#c-7521012-9493261;conference_de#c-7521012-9493261;0.31667990128165374
cmt_en#c-6029021-0998116;conference_de#c-6508590-8109709;conference_de#c-6508590-8109709;0.650980851296286
cmt_en#c-5375467-1655905;conference_de#c-8195847-6754106;conference_de#c-8195847-6754106;0.509184802697516
cmt_en#c-3969637-3563037;conference_de#c-4756237-0913680;conference_de#c-2734491-0275940;0.8664312235511453
cmt_en#op-2798366-1946309;conference_de#op-4621167-8649272;conference_de#op-9561953-5139312;0.977341730230007
