;target;prediction_target_1;metric_1
iasted_en#c-3616860-0256541;sigkdd_de#c-1670757-7005751;sigkdd_de#c-1670757-7005751;0.5187252416764424
iasted_en#c-4646685-6576496;sigkdd_de#c-6469555-3746715;sigkdd_de#c-6140019-6453251;1.0428507056937344
iasted_en#c-8889798-1079873;sigkdd_de#c-7808089-4928984;sigkdd_de#c-7808089-4928984;0.9379500991904681
iasted_en#c-7464317-0926432;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.24886593152675127
iasted_en#c-9595802-8962494;sigkdd_de#c-3867058-2838516;sigkdd_de#c-3867058-2838516;0.4273789620986787
iasted_en#c-9677685-8341994;sigkdd_de#c-3477390-2381487;sigkdd_de#c-3477390-2381487;0.2369136429931451
iasted_en#c-0409829-5411561;sigkdd_de#c-5524974-3116937;sigkdd_de#c-5524974-3116937;0.5072198933447479
iasted_en#c-3433144-4931823;sigkdd_de#c-5850113-5122819;sigkdd_de#c-7156294-5892481;0.9707012217280323
iasted_en#c-0995110-2084431;sigkdd_de#c-7783492-1910067;sigkdd_de#c-7783492-1910067;0.8996814550855787
iasted_en#c-3390147-9518013;sigkdd_de#c-7753839-9560987;sigkdd_de#c-7753839-9560987;0.842707418368264
iasted_en#c-3110153-2691987;sigkdd_de#c-7203961-8308851;sigkdd_de#c-7203961-8308851;0.32817539192554057
iasted_en#c-4700670-6960019;sigkdd_de#c-4711434-5769445;sigkdd_de#c-4711434-5769445;0.2033745137961474
