;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-9362556-8487981;0.403564022089719
iasted_de#c-2689809-9740493;iasted_en#c-0347561-8984406;iasted_en#c-0347561-8984406;0.38635194957244035
iasted_de#c-4122268-3045249;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.2606429223213858
iasted_de#op-6751872-1328733;iasted_en#op-5062506-9744171;iasted_en#op-5062506-9744171;0.2418606894865296
iasted_de#c-4015742-9338748;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.4705132593643736
iasted_de#c-1107430-2739895;iasted_en#c-9595802-8962494;iasted_en#c-9595802-8962494;0.2811844849498274
iasted_de#c-8274838-7479397;iasted_en#c-5985478-2794400;iasted_en#c-5985478-2794400;0.30778632584725024
iasted_de#c-9618449-6854324;iasted_en#c-9164726-0071093;iasted_en#c-9164726-0071093;0.29818417050437374
iasted_de#op-7507979-4687368;iasted_en#op-5949915-0266078;iasted_en#op-5949915-0266078;0.4270145371944693
iasted_de#c-0389652-1406971;iasted_en#c-9258778-1383131;iasted_en#c-9258778-1383131;0.4188229747546628
iasted_de#c-8505008-8246705;iasted_en#c-7705854-6281452;iasted_en#c-7705854-6281452;0.2177308959007598
iasted_de#c-1608626-3325967;iasted_en#c-6088495-8861567;iasted_en#c-6088495-8861567;0.45154867293162154
iasted_de#op-8851494-9501826;iasted_en#op-9679978-8775089;iasted_en#op-9679978-8775089;0.32178118418583246
iasted_de#op-5886698-2965211;iasted_en#op-2748109-6619640;iasted_en#op-2748109-6619640;0.4671620685097848
iasted_de#c-0065047-2762975;iasted_en#c-6206306-4799431;iasted_en#c-6206306-4799431;0.18589943647561435
iasted_de#c-8897962-1581638;iasted_en#c-9530580-6482208;iasted_en#c-9530580-6482208;0.31520602879857645
iasted_de#c-2105240-1270743;iasted_en#c-8969069-8654695;iasted_en#c-8969069-8654695;0.4571164655708674
iasted_de#c-9125541-4267173;iasted_en#c-3300599-6865154;iasted_en#c-3300599-6865154;0.20152424906268224
iasted_de#c-0731520-9303209;iasted_en#c-8600112-6635929;iasted_en#c-8600112-6635929;0.5497126203155814
iasted_de#c-9781262-9151263;iasted_en#c-8587941-4778765;iasted_en#c-8587941-4778765;0.241124202228646
iasted_de#c-9950849-1341485;iasted_en#c-8542206-4079455;iasted_en#c-8542206-4079455;0.3912040275873959
iasted_de#c-4206593-2836909;iasted_en#c-0531925-8203664;iasted_en#c-0531925-8203664;0.4470580084653914
iasted_de#op-7735928-0966441;iasted_en#op-4864199-4462640;iasted_en#op-4864199-4462640;0.5371883501300216
iasted_de#c-4201911-2867499;iasted_en#c-3686523-4526492;iasted_en#c-3686523-4526492;0.21589015529011263
iasted_de#c-8238174-3139401;iasted_en#c-4711487-9849078;iasted_en#c-4711487-9849078;0.5089294316157359
iasted_de#c-1956806-4029581;iasted_en#c-8423769-0880844;iasted_en#c-8423769-0880844;0.30637360977803496
iasted_de#c-8648452-5383386;iasted_en#c-7289258-8213427;iasted_en#c-7289258-8213427;0.42621194770281035
iasted_de#c-7008944-0865693;iasted_en#c-8950037-9879125;iasted_en#c-8950037-9879125;0.4049256180570576
iasted_de#c-5556791-9047127;iasted_en#c-6440895-5517624;iasted_en#c-6440895-5517624;0.3305703566207187
iasted_de#c-2369860-7098433;iasted_en#c-0900148-1015051;iasted_en#c-0900148-1015051;0.22229650778840024
iasted_de#c-6307752-0231379;iasted_en#c-8718316-8931937;iasted_en#c-8718316-8931937;0.2781023282380379
iasted_de#c-6062149-5112025;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.3169519188805815
iasted_de#op-7939528-0555862;iasted_en#op-2375314-8429528;iasted_en#op-2375314-8429528;0.296310123464727
iasted_de#c-8446306-7619564;iasted_en#c-9205213-3099363;iasted_en#c-2847659-1887400;0.5877073892934209
iasted_de#c-2743144-1626551;iasted_en#c-0999620-6234504;iasted_en#c-0999620-6234504;0.286883750257444
iasted_de#c-4372827-9130845;iasted_en#c-6599880-2928575;iasted_en#c-6599880-2928575;0.4480862684287382
iasted_de#op-7349937-0587048;iasted_en#op-5395177-6138398;iasted_en#op-5395177-6138398;0.39189955664778403
iasted_de#c-1991592-6900399;iasted_en#c-3199643-5367907;iasted_en#c-7459754-5987217;0.3548524117223141
iasted_de#c-4846591-8081427;iasted_en#c-6321088-6874200;iasted_en#c-6321088-6874200;0.3700333996072176
iasted_de#op-4889945-8277647;iasted_en#op-3965265-4296618;iasted_en#op-3965265-4296618;0.5259381079877415
iasted_de#c-4423435-9668662;iasted_en#c-3110153-2691987;iasted_en#c-3110153-2691987;0.24239890480397888
