;target;prediction_target_1;metric_1
conference_de#c-6600254-2450629;sigkdd_en#c-7357680-6909888;_:B3b6a0acaX2Da8afX2D4580X2D86f0X2D94b883df83e0;0.7549395659526745
conference_de#c-3040625-6424461;sigkdd_en#c-4512427-8358882;sigkdd_en#c-4512427-8358882;0.741486679304487
conference_de#op-1806324-3972847;sigkdd_en#op-4778648-3039012;sigkdd_en#op-4778648-3039012;0.36959995782816785
conference_de#c-2852856-4092117;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.24353867727919964
conference_de#c-6508590-8109709;sigkdd_en#c-3661201-8652994;sigkdd_en#c-6792972-5439604;0.9260281016255704
conference_de#c-8195847-6754106;sigkdd_en#c-5937062-8520809;sigkdd_en#c-5937062-8520809;0.7160580727830503
conference_de#c-7096317-3412127;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.6916941723625822
conference_de#ent-5299945-7988874;sigkdd_en#ent-6795922-7675825;sigkdd_en#c-3967774-8138616;0.7321585462329745
conference_de#c-0369442-7501730;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.34643731112418136
conference_de#c-1521137-1761392;sigkdd_en#c-2288341-0956338;at;0.7981895751919559
conference_de#c-7521012-9493261;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.6012415529371178
conference_de#c-2807153-3693543;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.4113213472952948
conference_de#c-9625814-4995879;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.7444128339958711
conference_de#op-6034483-9201945;sigkdd_en#op-5101248-3088535;sigkdd_en#op-5101248-3088535;0.32992527248044784
