;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.5034910450186788
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.41779606278821463
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.3904819926076117
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;XMLSchema#anyURI;0.7219053894958879
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-1536122-6298582;0.4705816024139389
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-8994929-8698791;0.8489302400520297
cmt_de#op-6999775-8658617;cmt_en#op-2649033-9712859;cmt_en#op-2649033-9712859;0.43948904004714334
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-0455003-6077543;0.9779905628220104
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.3669633590478198
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-1997920-3046898;0.5177395534131497
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-3945313-3684065;0.6240735631454826
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-3959626-1362323;0.49670083232556594
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.3865648205170213
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-4204612-8254155;0.4577774477516464
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.39185386482755474
cmt_de#op-5585072-3196242;cmt_en#op-3741712-7753689;cmt_en#op-3741712-7753689;0.4912400062572973
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.44650913074995907
cmt_de#op-7066350-8155982;cmt_en#op-7758730-0930874;cmt_en#op-7758730-0930874;0.3706029755625643
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.3783807293398519
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-2352672-2684910;0.4880967485897994
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.21080517289985568
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.3069863391008129
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.33604712800277736
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.4306368603935939
cmt_de#op-0065286-3503316;cmt_en#op-2958559-8395926;cmt_en#op-2958559-8395926;0.3991975530494058
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-3959626-1362323;0.6226379459177122
cmt_de#op-5944487-2995547;cmt_en#op-2352672-2684910;cmt_en#op-3343741-2145006;0.5422074460118778
cmt_de#c-5336831-3519560;cmt_en#c-1998894-5296562;cmt_en#c-1998894-5296562;0.4379320647158983
cmt_de#ent-7649389-3921230;cmt_en#ent-7669016-6331082;cmt_en#ent-7669016-6331082;0.38495402077853813
cmt_de#c-5888543-5318130;cmt_en#c-7224102-6220619;cmt_en#c-7224102-6220619;0.49423600058769274
cmt_de#op-8350630-9441009;cmt_en#op-2798366-1946309;cmt_en#op-2798366-1946309;0.48226066061963263
cmt_de#c-2600954-3812137;cmt_en#c-3355504-9442806;cmt_en#c-3355504-9442806;0.4652590714360459
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0491014-8723432;0.5817899296896007
cmt_de#op-3385838-2265419;cmt_en#op-0102687-5392298;cmt_en#op-0102687-5392298;0.34014452029826553
cmt_de#op-4385319-7522274;cmt_en#op-1288474-9125864;cmt_en#op-3673731-3704063;0.40846273370262026
cmt_de#ent-5017088-6756639;cmt_en#ent-1689293-3812948;cmt_en#ent-7312475-4843858;0.37705601104644343
cmt_de#op-3324750-0695052;cmt_en#op-4309011-4113368;cmt_en#op-2352672-2684910;0.5713896905161224
cmt_de#c-9309131-3067692;cmt_en#c-3945313-3684065;cmt_en#c-3945313-3684065;0.4801101809551427
cmt_de#c-5356419-0853732;cmt_en#c-2079829-2275666;cmt_en#c-2079829-2275666;0.5456200001357318
cmt_de#c-8330184-9824066;cmt_en#c-2282104-8815481;cmt_en#c-5994448-5980560;1.066552634799761
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-1997920-3046898;0.5220141715787653
cmt_de#op-9724235-4357611;cmt_en#op-5999633-4351656;cmt_en#op-5999633-4351656;0.29963653203067886
cmt_de#c-7511748-5827387;cmt_en#c-2074692-1147118;cmt_en#c-2074692-1147118;0.36640888235706764
cmt_de#op-0995455-0619369;cmt_en#op-1536122-6298582;cmt_en#op-1536122-6298582;0.39233222432953146
cmt_de#op-2707356-6407444;cmt_en#op-3715253-7341884;cmt_en#op-1288474-9125864;0.4509402978037717
cmt_de#c-5325416-2794476;cmt_en#c-6817901-7377121;cmt_en#c-6817901-7377121;0.2912917712147359
cmt_de#op-5563137-2349843;cmt_en#op-1581958-6116705;cmt_en#op-0261939-6958814;0.4483206417398791
cmt_de#ent-2502906-5126965;cmt_en#ent-4692979-9121254;cmt_en#ent-4692979-9121254;0.2513148349003096
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-3673731-3704063;0.4659237203107968
cmt_de#op-2010665-6629499;cmt_en#op-7075044-5167613;cmt_en#op-9305729-7081388;0.4412387692453963
cmt_de#op-6688188-2661083;cmt_en#op-8994929-8698791;cmt_en#op-8994929-8698791;0.4424190315670993
cmt_de#op-9262861-2168864;cmt_en#op-7848370-1577514;cmt_en#op-7848370-1577514;0.2853960813168845
cmt_de#op-7761501-2770581;cmt_en#op-2611597-4191733;cmt_en#op-2611597-4191733;0.4210111241467073
cmt_de#ent-7525433-8535515;cmt_en#ent-7592571-9671564;cmt_en#op-2852745-7435295;0.32951352107124127
