;target;prediction_target_1;metric_1
conference_en#c-4101654-3843816;iasted_de#c-4015742-9338748;iasted_de#c-4015742-9338748;0.5551937915535505
conference_en#c-0845815-7069476;iasted_de#c-4247837-9825706;iasted_de#c-4247837-9825706;0.37768898079581786
conference_en#c-6525918-2089133;iasted_de#c-2379893-4624688;iasted_de#c-2379893-4624688;0.3996134812838856
conference_en#c-0975007-5643450;iasted_de#c-6456542-4680337;iasted_de#c-6456542-4680337;0.5990173352015229
conference_en#c-1481587-3387008;iasted_de#c-4122268-3045249;iasted_de#c-4122268-3045249;0.6521526298014227
conference_en#c-9453090-9458986;iasted_de#c-6062149-5112025;iasted_de#c-6062149-5112025;0.5439653561695882
conference_en#op-8498965-3154119;iasted_de#op-5817020-0959926;iasted_de#op-5817020-0959926;0.794115167972844
conference_en#c-5623276-9536395;iasted_de#c-4201911-2867499;iasted_de#c-4201911-2867499;0.46255020796472307
conference_en#c-3417170-2349351;iasted_de#c-1912201-3885408;iasted_de#c-1912201-3885408;0.44405263618514984
conference_en#c-2974852-3474918;iasted_de#c-9964978-6784653;iasted_de#c-9964978-6784653;0.5129354808077126
conference_en#c-9609595-3810460;iasted_de#c-2372932-6696619;iasted_de#c-2372932-6696619;0.6350861348204953
conference_en#c-9312690-4124149;iasted_de#c-5379764-4238098;iasted_de#c-5379764-4238098;0.3503834671763272
