;target;prediction_target_1;metric_1
conference_en#c-4101654-3843816;iasted_de#c-4015742-9338748;iasted_de#c-4015742-9338748;0.47820473540484376
conference_en#c-0845815-7069476;iasted_de#c-4247837-9825706;iasted_de#c-4247837-9825706;0.41496248309164574
conference_en#c-6525918-2089133;iasted_de#c-2379893-4624688;iasted_de#c-2379893-4624688;0.5356248171616061
conference_en#c-0975007-5643450;iasted_de#c-6456542-4680337;iasted_de#c-6456542-4680337;0.7549884333010268
conference_en#c-1481587-3387008;iasted_de#c-4122268-3045249;iasted_de#c-4122268-3045249;0.4929896464598107
conference_en#c-9453090-9458986;iasted_de#c-6062149-5112025;iasted_de#c-6062149-5112025;0.5168766553008766
conference_en#c-0949358-2763718;iasted_de#c-6959391-5712840;iasted_de#c-6959391-5712840;0.5115813529159728
conference_en#op-8498965-3154119;iasted_de#op-5817020-0959926;iasted_de#op-5817020-0959926;0.5766551790688823
conference_en#c-5623276-9536395;iasted_de#c-4201911-2867499;iasted_de#c-4201911-2867499;0.3302411267353772
conference_en#c-9170184-4807203;iasted_de#c-1608626-3325967;iasted_de#op-0368918-3051572;0.9242539910352545
conference_en#c-2974852-3474918;iasted_de#c-9964978-6784653;iasted_de#c-9964978-6784653;0.5489731040991576
conference_en#c-9609595-3810460;iasted_de#c-2372932-6696619;iasted_de#c-2372932-6696619;0.5492611758709713
conference_en#c-9312690-4124149;iasted_de#c-5379764-4238098;iasted_de#c-5379764-4238098;0.4811924194134023
