;target;prediction_target_1;metric_1
conference_en#c-0513615-7095489;sigkdd_de#c-6985541-3131901;sigkdd_de#c-6985541-3131901;0.6132479296594282
conference_en#op-5728539-7928456;sigkdd_de#op-2955099-2207630;sigkdd_de#op-2955099-2207630;0.3969485898305405
conference_en#c-0975007-5643450;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.45434294772282097
conference_en#c-2974852-3474918;sigkdd_de#c-6469555-3746715;sigkdd_de#c-9282764-4133286;1.0654075790882398
conference_en#c-4444483-2447834;sigkdd_de#c-9282764-4133286;sigkdd_de#c-9282764-4133286;0.38828340695880287
conference_en#ent-4516568-5595755;sigkdd_de#ent-0138865-5902109;sigkdd_de#ent-1700090-3901005;0.9287317493638366
conference_en#c-3746645-9598977;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.20196612316012133
conference_en#c-5005169-5278256;sigkdd_de#c-4301546-5674434;owl#DatatypeProperty;0.918191437041944
conference_en#c-9312690-4124149;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.613431604767866
conference_en#c-6525918-2089133;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.23412884624762936
conference_en#op-0316178-5626069;sigkdd_de#op-0836929-5233701;sigkdd_de#op-0836929-5233701;0.3205558026692789
