;target;prediction_target_1;metric_1
conference_en#c-4101654-3843816;iasted_de#c-4015742-9338748;iasted_de#c-4015742-9338748;0.4825912968992985
conference_en#c-0845815-7069476;iasted_de#c-4247837-9825706;iasted_de#c-4247837-9825706;0.41066062248968266
conference_en#c-6525918-2089133;iasted_de#c-2379893-4624688;iasted_de#c-2379893-4624688;0.457559785368625
conference_en#c-0975007-5643450;iasted_de#c-6456542-4680337;iasted_de#c-6456542-4680337;0.5496317672352778
conference_en#c-1481587-3387008;iasted_de#c-4122268-3045249;iasted_de#c-4122268-3045249;0.4046789441385802
conference_en#c-9453090-9458986;iasted_de#c-6062149-5112025;iasted_de#c-6062149-5112025;0.5077348273878022
conference_en#c-5623276-9536395;iasted_de#c-4201911-2867499;iasted_de#c-4201911-2867499;0.4742106524969965
conference_en#c-3417170-2349351;iasted_de#c-1912201-3885408;iasted_de#c-1912201-3885408;0.3830216292430972
conference_en#c-9170184-4807203;iasted_de#c-1608626-3325967;iasted_de#op-0368918-3051572;0.7684934245121368
conference_en#c-2974852-3474918;iasted_de#c-9964978-6784653;iasted_de#c-9964978-6784653;0.5985138626955466
conference_en#c-9609595-3810460;iasted_de#c-2372932-6696619;iasted_de#c-2372932-6696619;0.5689306193026588
