;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.5179659276806254
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.447948779422513
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;virtual;0.6962914979926996
cmt_de#ent-3421629-9074086;cmt_en#ent-7385850-0767179;cmt_en#ent-7312475-4843858;0.40682118482945256
cmt_de#op-4119782-8661590;cmt_en#op-3343741-2145006;cmt_en#op-3343741-2145006;0.45995760744495756
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-4815057-3921498;0.39105701221257183
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-3343741-2145006;0.8306298290337278
cmt_de#op-4267478-9907556;cmt_en#op-5548425-1932115;cmt_en#op-5548425-1932115;0.40240523091189784
cmt_de#c-5403940-4193578;cmt_en#c-1819859-8467443;cmt_en#c-1819859-8467443;0.5008681223246878
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.6395952323359497
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.35209826887572754
cmt_de#c-7914897-1988765;cmt_en#c-3027646-3365825;cmt_en#c-3027646-3365825;0.4796720567499237
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7452997-4133095;0.41275086643872644
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.22279787526445397
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.3464035592911007
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-1997920-3046898;0.5265557563315382
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.3265055429402817
cmt_de#op-5585072-3196242;cmt_en#op-3741712-7753689;cmt_en#op-3741712-7753689;0.554292760666393
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.27855322199940047
cmt_de#op-7066350-8155982;cmt_en#op-7758730-0930874;cmt_en#op-7758730-0930874;0.4397810859146934
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-4999283-7971326;0.620225018954318
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.27204821935663653
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.44829394355859103
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.39223736975239637
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-7075044-5167613;0.42184521384775364
cmt_de#op-0065286-3503316;cmt_en#op-2958559-8395926;cmt_en#op-5714477-9488711;0.6094043751816511
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-5994448-5980560;0.7221652028945307
cmt_de#op-9131907-0871491;cmt_en#op-8724798-7163354;cmt_en#op-8724798-7163354;0.5100099565903645
cmt_de#op-5944487-2995547;cmt_en#op-2352672-2684910;cmt_en#op-4309011-4113368;0.518702301363155
cmt_de#op-1108172-2047481;cmt_en#op-6746253-0545056;cmt_en#op-3343741-2145006;0.532992930417063
cmt_de#c-5888543-5318130;cmt_en#c-7224102-6220619;cmt_en#c-7224102-6220619;0.3765951857745794
cmt_de#c-2600954-3812137;cmt_en#c-3355504-9442806;cmt_en#c-3355504-9442806;0.44272799043635297
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0491014-8723432;0.5186214208213822
cmt_de#op-4385319-7522274;cmt_en#op-1288474-9125864;cmt_en#op-1288474-9125864;0.426879687772686
cmt_de#c-4872876-3932965;cmt_en#c-4062369-5383392;cmt_en#c-2074692-1147118;0.5189224641463853
cmt_de#ent-7086815-3431611;cmt_en#ent-7312475-4843858;cmt_en#ent-7312475-4843858;0.42686341853816945
cmt_de#c-7221579-7498183;cmt_en#c-3969637-3563037;owl#Ontology;0.6024620317026086
cmt_de#op-3324750-0695052;cmt_en#op-4309011-4113368;cmt_en#op-4309011-4113368;0.6609635508774058
cmt_de#c-8330184-9824066;cmt_en#c-2282104-8815481;cmt_en#c-2282104-8815481;0.9926908631786794
cmt_de#op-7851598-8792255;cmt_en#op-0563197-2956391;cmt_en#op-0563197-2956391;0.3860029952068945
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-6143522-2877268;0.48305193508730365
cmt_de#op-9724235-4357611;cmt_en#op-5999633-4351656;cmt_en#op-5999633-4351656;0.25362009149624476
cmt_de#c-7511748-5827387;cmt_en#c-2074692-1147118;cmt_en#c-2074692-1147118;0.46990004742646097
cmt_de#op-0995455-0619369;cmt_en#op-1536122-6298582;cmt_en#op-1536122-6298582;0.5056817994902898
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-7075044-5167613;0.4702965908479463
cmt_de#op-2010665-6629499;cmt_en#op-7075044-5167613;cmt_en#op-7075044-5167613;0.44844865166822623
cmt_de#ent-6414249-7356026;cmt_en#ent-6218326-5775008;cmt_en#ent-6218326-5775008;0.29815403488591513
cmt_de#c-8450582-0542304;cmt_en#c-0430420-0075813;cmt_en#c-0430420-0075813;0.30212352687237576
