;target;prediction_target_1;metric_1
cmt_de#c-7511748-5827387;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.5908028815282326
cmt_de#c-7606498-1774261;confOf_en#c-8897779-7605019;confOf_en#c-8897779-7605019;0.5967819961203347
cmt_de#c-8082317-4346619;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.31746916118555285
cmt_de#c-2600954-3812137;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.328516436569475
cmt_de#c-7221579-7498183;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.9022835638303252
cmt_de#c-1253837-4887221;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.2082679363635877
cmt_de#op-9131907-0871491;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.4597438820034488
cmt_de#op-3382350-0510939;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.29895792688853784
cmt_de#c-4872876-3932965;confOf_en#c-4940510-7116222;confOf_en#c-6603806-5996118;0.6397614123862824
cmt_de#op-3286624-6409948;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.31234526076077374
cmt_de#c-9804348-4921383;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.15785381573786583
cmt_de#c-0277212-8406046;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.21383267131933958
cmt_de#ent-4152612-5306614;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.8415651278209288
