;target;prediction_target_1;metric_1
conference_de#op-1806324-3972847;sigkdd_en#op-4778648-3039012;sigkdd_en#op-4778648-3039012;0.34305167159111843
conference_de#c-2852856-4092117;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.2905459556487707
conference_de#c-6508590-8109709;sigkdd_en#c-3661201-8652994;sigkdd_en#op-1986890-7846167;0.8308400490386469
conference_de#c-8195847-6754106;sigkdd_en#c-5937062-8520809;sigkdd_en#c-9656043-0451863;0.6153354141656591
conference_de#c-5694210-3113803;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.3275435709531025
conference_de#c-7096317-3412127;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.6582302890628495
conference_de#ent-5299945-7988874;sigkdd_en#ent-6795922-7675825;sigkdd_en#c-3967774-8138616;0.7382402136422815
conference_de#c-1521137-1761392;sigkdd_en#c-2288341-0956338;sigkdd_en#c-2288341-0956338;0.5739819197845694
conference_de#c-7521012-9493261;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.40085284029855367
conference_de#c-2807153-3693543;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.44610354468881985
conference_de#c-9625814-4995879;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.6438585372774847
