;target;prediction_target_1;metric_1
conference_de#c-6600254-2450629;sigkdd_en#c-7357680-6909888;sigkdd_en#c-7357680-6909888;0.623029418101202
conference_de#op-1806324-3972847;sigkdd_en#op-4778648-3039012;sigkdd_en#op-4778648-3039012;0.24077923801086087
conference_de#c-2852856-4092117;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.23284632832028548
conference_de#c-6508590-8109709;sigkdd_en#c-3661201-8652994;_:Bf515ce8eX2D1455X2D4f51X2Dab56X2Db0d2f6a63ff9;0.9209271911209984
conference_de#c-8195847-6754106;sigkdd_en#c-5937062-8520809;sigkdd_en#c-9656043-0451863;0.6741827619008139
conference_de#c-5694210-3113803;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.2708656942368473
conference_de#c-7096317-3412127;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.41969630607386876
conference_de#c-1521137-1761392;sigkdd_en#c-2288341-0956338;sigkdd_en#c-2288341-0956338;0.5672272048191642
conference_de#c-7521012-9493261;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.2361322507233645
conference_de#c-9625814-4995879;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.4423444645722979
