;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-9362556-8487981;0.623888553428039
iasted_de#c-8179403-0452179;iasted_en#c-5074238-7594931;iasted_en#c-4177590-0761750;0.7284684956039161
iasted_de#c-9031594-4043807;iasted_en#c-2395432-1675191;iasted_en#c-7284235-3461811;0.6689331834950043
iasted_de#c-1251407-2550325;iasted_en#c-5688901-6766233;iasted_en#c-5688901-6766233;0.301112388399478
iasted_de#c-2460382-4400595;iasted_en#c-5810296-5194443;iasted_en#c-5810296-5194443;0.5350100958663936
iasted_de#c-9446232-8225502;iasted_en#c-0235524-1676194;iasted_en#c-8969069-8654695;0.41209848547114775
iasted_de#c-2293461-8102109;iasted_en#c-7668907-4202016;iasted_en#c-7668907-4202016;0.5791555108871265
iasted_de#c-8622413-8169447;iasted_en#c-6477155-7340247;iasted_en#c-2297379-6540044;0.5367228012492686
iasted_de#c-5666659-9715348;iasted_en#c-0579327-2823478;iasted_en#c-0579327-2823478;0.44524477618985536
iasted_de#c-2372932-6696619;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.28338357683525056
iasted_de#c-8149245-9898096;iasted_en#c-6928152-7381829;iasted_en#c-6928152-7381829;0.5700997882541552
iasted_de#ent-8278334-1384889;iasted_en#ent-0709927-2922893;iasted_en#ent-2268143-8537869;0.36890800532957857
iasted_de#c-2689809-9740493;iasted_en#c-0347561-8984406;iasted_en#c-0347561-8984406;0.5974795958463849
iasted_de#c-7617819-9406298;iasted_en#c-4043564-4710049;iasted_en#c-4043564-4710049;0.47971010060521196
iasted_de#c-8276198-4462254;iasted_en#c-1915235-7447973;iasted_en#c-1476405-6307065;0.5346432794129183
iasted_de#op-1454375-2517846;iasted_en#op-7676471-2591482;iasted_en#op-7676471-2591482;0.39910348533975293
iasted_de#c-5250081-8006537;iasted_en#c-8723910-5601078;iasted_en#c-8723910-5601078;0.4961046452244349
iasted_de#c-1107430-2739895;iasted_en#c-9595802-8962494;iasted_en#c-9595802-8962494;0.27705824994295647
iasted_de#ent-6399187-3902154;iasted_en#ent-6120875-2823827;iasted_en#ent-6120875-2823827;0.6251323807300178
iasted_de#c-8274838-7479397;iasted_en#c-5985478-2794400;iasted_en#c-5985478-2794400;0.4583451023475213
iasted_de#op-4035584-0471414;iasted_en#op-1296071-2287446;iasted_en#op-1296071-2287446;0.33711428129826915
iasted_de#c-4218528-6837752;iasted_en#c-3336428-2571907;iasted_en#c-3336428-2571907;0.4571293872204446
iasted_de#c-1203716-4790361;iasted_en#c-1215775-9702989;iasted_en#c-2284339-2085594;0.5608595737063997
iasted_de#c-9753371-0023373;iasted_en#c-6174362-9247294;iasted_en#c-6174362-9247294;0.26703108990015606
iasted_de#c-9618449-6854324;iasted_en#c-9164726-0071093;iasted_en#c-9164726-0071093;0.3474796047314878
iasted_de#op-2957250-8524669;iasted_en#op-1877374-3703970;iasted_en#op-1877374-3703970;0.46718871634662285
