;target;prediction_target_1;metric_1
iasted_de#c-9964978-6784653;sigkdd_en#c-3661201-8652994;sigkdd_en#c-3661201-8652994;1.0167298419435762
iasted_de#c-6062149-5112025;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.3158452269679954
iasted_de#c-1107430-2739895;sigkdd_en#c-6356419-4596819;sigkdd_en#c-6356419-4596819;0.3270969658925198
iasted_de#c-3927158-8920929;sigkdd_en#c-7201186-4592712;sigkdd_en#c-7201186-4592712;0.43384378261800677
iasted_de#c-5938213-2144206;sigkdd_en#c-4402529-2023643;sigkdd_en#c-4402529-2023643;0.7096530776280653
iasted_de#c-6456542-4680337;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.2870645690710071
iasted_de#c-4201911-2867499;sigkdd_en#c-1214605-4064522;sigkdd_en#c-1214605-4064522;0.34132119138009814
iasted_de#c-2581999-3385666;sigkdd_en#c-9975477-9791635;hotel;0.9372756284661113
iasted_de#c-2379893-4624688;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.38510213806622395
iasted_de#c-4423435-9668662;sigkdd_en#c-4561947-0725440;sigkdd_en#c-4561947-0725440;0.3455340116473353
