;target;prediction_target_1;metric_1
conference_de#c-8237344-7989230;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.33573217066184763
conference_de#ent-5299945-7988874;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.7788369063779788
conference_de#c-1859422-0439299;confOf_en#c-2124079-9413007;confOf_en#c-2124079-9413007;0.17892573294640152
conference_de#c-4756237-0913680;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.6271227787743914
conference_de#c-5236249-1093814;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.4000525190519982
conference_de#c-2807153-3693543;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.3769665706368352
conference_de#c-8115832-0092831;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.18699745963862174
conference_de#c-1479504-0321675;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.38307241371054884
conference_de#c-5694210-3113803;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.2963524730745556
conference_de#op-4737759-4638811;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.4703707039027492
conference_de#c-2852856-4092117;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.23775723692213194
conference_de#ent-3965541-6558239;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.9293577078182985
